t,plant,axis,metamer,Nstruct,mstruct,amino_acids,fructan,proteins,sucrose,D_Fructan,D_Proteins,S_Fructan,S_Proteins,Unloading_Amino_Acids,Unloading_Sucrose,nb_replications
28,1,MS,4,4.64e-06,0.000144,0.037454035059913383,0.015112434266587517,0.59733254890848109,0.26220983028464306,0.015112434266587517,3.7333284306780072,0.00031009578488654842,117.01217991416429,0.0092941777326611668,0.021337368936287529,1
28,1,MS,5,1e-07,3.11e-06,0.00080893370017635685,0.00024190325313487294,0.0046082552890470843,0.0056631375611484415,0.00024190325313487294,1.3335787010104103,16.734845837110171,117.01340839009818,0.00034366832472620224,7.4290847802837908e-06,1
28,1,MS,6,2.06e-08,6.4e-07,0.00016647100292602573,5.0039838998933485e-05,0.00053933398587445653,0.0011654045788164838,5.0039838998933485e-05,0.75843841763595443,18.709797563354854,117.01386348664515,7.1091093685514845e-05,1.239659278608813e-06,1
32,1,MS,4,4.64e-06,0.000144,0.036558935639417582,0.018113219291277332,0.61356984767611367,0.26092411174265789,0.018113219291277332,3.8348115479757099,21.545859458595856,116.2219638081385,0.0057642973470398455,-0.22182686542563748,1
32,1,MS,5,1e-07,3.11e-06,0.00078958014192173252,0.00026816842596267724,0.0049664582396000715,0.0056338400190574563,0.00026816842596267724,1.4372387188553262,10.162802479263091,116.22232504392861,0.00033994228168174936,1.1625943161942182e-05,1
32,1,MS,6,2.06e-08,6.4e-07,0.00016248825165747613,5.5408529123541032e-05,0.00061341599253597991,0.0011593755173887272,5.5408529123541032e-05,0.86261623950372168,10.150756083863993,116.22279114203334,7.0324001068670231e-05,2.3942674661718647e-06,1
36,1,MS,4,4.64e-06,0.000144,0.036137592645629595,0.021156541225520232,0.629702870469106,0.26928085632850929,0.021156541225520232,3.9356429404319124,22.048085963735915,115.84030228037116,-0.15468692636703121,-2.0200199156001082,1
36,1,MS,5,1e-07,3.11e-06,0.00077947004092693631,0.00026988885683441579,0.0053222717208326921,0.0058029848036277509,0.00026988885683441579,1.5402072504017437,0.0006196963076441379,115.79790539025392,0.00035461338914157979,0.00036803726835330267,1
36,1,MS,6,2.06e-08,6.4e-07,0.00016040781669935647,5.576445057553486e-05,0.0006870059599714917,0.0011941858835573381,5.576445057553486e-05,0.96610213120991029,0.00061964191983697285,115.79840082001148,7.3342914804044111e-05,7.5739827540961309e-05,1
40,1,MS,4,4.64e-06,0.000144,0.036511971643988519,0.024334398743376544,0.64581752981699214,0.29342839033949591,0.024334398743376544,4.0363595613561998,23.452766711555267,116.17973563639335,-0.26972883072501191,-2.7685278198846359,1
40,1,MS,5,1e-07,3.11e-06,0.00078683059525152664,0.00027046953541082122,0.0056775773547957705,0.0063197728355464727,0.00027046953541082122,1.6430288165003837,0.0001104650507063656,116.10767360837046,0.00037307326453681012,0.00066747444989007684,1
40,1,MS,6,2.06e-08,6.4e-07,0.00016192265504064857,5.5878778070139652e-05,0.00076049110072925715,0.0013005365929130723,5.5878778070139652e-05,1.0694406104005179,0.00011046179900662215,116.10818805163844,7.7141418791541782e-05,0.00013735954817157661,1
44,1,MS,4,4.64e-06,0.000144,0.037164418229525882,0.027693012003257047,0.66198660620393568,0.32085400207786652,0.027693012003257047,4.137416288774598,24.969087034708764,116.75950122008291,-0.23582242560444991,-2.418343736507147,1
44,1,MS,5,1e-07,3.11e-06,0.0008011346830512718,0.0002707772369342624,0.0060341018161757182,0.0069142984776678655,0.0002707772369342624,1.7462030979286645,0.00017069104114212879,116.69793293221367,0.00037532349543798046,0.00058961938026879941,1
44,1,MS,6,2.06e-08,6.4e-07,0.00016486627693405024,5.594364405440903e-05,0.00083422673143686104,0.001422882173664984,5.594364405440903e-05,1.1731313410830857,0.00017069239524054343,116.69843727572136,7.7604083353375645e-05,0.00012133622255265006,1
48,1,MS,4,4.64e-06,0.000144,0.037205733782018947,0.027689087173299612,0.67818726967642451,0.33333410585226186,0.027689087173299612,4.238670435477653,5.1416188152667163e-07,116.79572076518325,-0.0090265340639574289,0.19079393830155533,1
48,1,MS,5,1e-07,3.11e-06,0.00080345478739831354,0.00027142219688205439,0.0063915063998601866,0.0072002783642145275,0.00027142219688205439,1.8496320771299575,0.010327194338013672,116.79224409128665,0.00035694310420226674,0.00015157455702131831,1
48,1,MS,6,2.06e-08,6.4e-07,0.00016534360044131993,5.6076504759797771e-05,0.00090814313752456978,0.0014817303458347013,5.6076504759797771e-05,1.2770762871439261,0.010328657149491379,116.79272157562222,7.3821200966497753e-05,3.1190723560086248e-05,1
