t,plant,axis,metamer,Nstruct,mstruct,amino_acids,fructan,proteins,sucrose,D_Fructan,D_Proteins,S_Fructan,S_Proteins,Unloading_Amino_Acids,Unloading_Sucrose
36,1,MS,4,4.6399999999999996e-06,0.000144,0.036597017286283035,0.012946788304137844,0.45760849382452123,0.26000094389851458,0.012946788304137844,21.164392839384107,14.326568824176279,3.8752049406443314,-0.084538939648333186,-1.8983472679273057
36,1,MS,5,9.9999999999999995e-08,3.1099999999999999e-06,0.00079649561309396561,0.00028109635939932318,0.0019928399577654097,0.0057589581632261884,0.00028109635939932318,4.2676251185587235,14.594037795376245,3.8836057315763735,-0.081799881459474283,-1.9187785999083362
36,1,MS,6,2.0599999999999999e-08,6.4000000000000001e-07,0.0001664598919466736,5.836978886348221e-05,2.0946919075487667e-05,0.0012449840197828524,5.836978886348221e-05,0.21797887662929355,15.124719632076051,3.9003898201949658,-0.081791812443779005,-1.9191342407478809
40,1,MS,4,4.6399999999999996e-06,0.000144,0.036280683308952219,0.015032711787003526,0.45512572973088355,0.28572019561783651,0.015032711787003526,21.049565000053367,15.341136262939274,3.8656876166019551,-0.10912524961909784,-2.6013273411185871
40,1,MS,5,9.9999999999999995e-08,3.1099999999999999e-06,0.00079152540299180871,0.00032730464955424025,0.0019915683725914052,0.0063681399755703225,0.00032730464955424025,4.2649020454851314,15.689267386013647,3.8767697910245094,-0.10666465235660791,-2.6357179292504354
40,1,MS,6,2.0599999999999999e-08,6.4000000000000001e-07,0.00016621279739998892,6.8327112267654061e-05,2.3270753051843935e-05,0.0013927182165614114,6.8327112267654061e-05,0.24216127394575096,16.375222721724885,3.8987802420057092,-0.10666117413106861,-2.6363196640311544
44,1,MS,4,4.6399999999999996e-06,0.000144,0.036124869417210922,0.017262410280294856,0.4526583879560267,0.31468023465810929,0.017262410280294856,20.935450442966236,16.423173172098753,3.8609559431436824,-0.12098479976565382,-2.3137286350827071
44,1,MS,5,9.9999999999999995e-08,3.1099999999999999e-06,0.00078905919018929915,0.00037642282469178086,0.0019902795756135926,0.0069718714602801136,0.00037642282469178086,4.2621421136934181,16.71624223231597,3.8733548749217697,-0.11866968613613008,-2.3455110761748621
44,1,MS,6,2.0599999999999999e-08,6.4000000000000001e-07,0.00016607981044880065,7.8801765887465515e-05,2.5573352319840285e-05,0.0015079056321643828,7.8801765887465515e-05,0.26612269757833795,17.295780862846641,3.897912531630384,-0.11866852363194526,-2.346070215812011
48,1,MS,4,4.6399999999999996e-06,0.000144,0.035762139793440118,0.017259928416613505,0.45020627075185959,0.32719808536347117,0.017259928416613505,20.822040022273509,8.5081357317222792e-07,3.849826894941013,-0.04900427709507002,0.14031757602270131
48,1,MS,5,9.9999999999999995e-08,3.1099999999999999e-06,0.00077582006689101192,0.00037642167155279774,0.0019889446095391239,0.007056766565921857,0.00037642167155279774,4.259283311746163,1.0339274838903827e-11,3.8547580127001715,-0.046433033319960987,0.13177101269624839
48,1,MS,6,2.0599999999999999e-08,6.4000000000000001e-07,0.00016110219348676081,7.8801699617840433e-05,2.7837104400712018e-05,0.0014480939785446547,7.8801699617840433e-05,0.28967986766990944,9.0246081358644048e-14,3.8646973241496814,-0.046427350040480701,0.13161687025444641
