t,air_temperature,humidity,ambient_CO2,Wind,PARi
214,10.8,1,360,1.045,0
215,10.3,1,360,1.214,0
216,9.8,1,360,0.891,0
217,10.4,1,360,0.977,0
218,9.9,1,360,0.574,0
219,10.2,1,360,0.264,0
220,11,1,360,0.43,363600
221,12.3,0.99,360,0.473,1090800
222,12.7,0.94,360,1.174,2060400
223,13.7,0.86,360,2.129,3191600
224,14.8,0.78,360,2.371,3676400
225,14.6,0.81,360,3.181,2747200
226,15,0.79,360,3.316,3393600
227,16.4,0.74,360,3.028,5413600
228,16.2,0.73,360,2.435,4201600
229,16.9,0.67,360,2.235,2787600
230,16.3,0.71,360,2.23,1818000
231,16.3,0.71,360,2.41,1373600
232,16.4,0.72,360,1.713,848400
233,16.2,0.79,360,0.879,484800
234,15.5,0.79,360,0.196,282800
235,14.7,0.81,360,0.345,40400
236,14.2,0.87,360,0.271,0
237,13.2,0.95,360,0.363,0
238,12.5,0.95,360,0.288,0
239,12.1,0.98,360,0.422,0
240,11.7,0.99,360,0.33,0
241,11.5,1,360,0.342,0
242,11.3,1,360,0.543,0
243,10.2,1,360,0.64,0
244,10.6,1,360,0.832,202000
245,11.9,1,360,0.344,1212000
246,14.7,0.94,360,0.501,2504800
247,16.3,0.83,360,0.77,2222000
248,17.3,0.79,360,0.475,3070400
249,18.3,0.69,360,0.598,4040000
250,19,0.72,360,1.032,3878400
251,18.1,0.73,360,1.421,3272400
252,18.8,0.7,360,2.14,3474400
253,19.6,0.68,360,2.122,4080400
254,19.2,0.7,360,2.079,3434000
255,19.9,0.6,360,2.813,4767200
256,18.5,0.69,360,2.347,1656400
257,16.6,0.84,360,2.831,848400
258,15.6,0.88,360,2.294,363600
259,14.2,0.93,360,1.426,40400
260,14.1,0.96,360,1.062,0
261,14.1,0.92,360,1.135,0
262,13.3,0.93,360,1.298,0
263,12,0.96,360,1.151,0
264,11,0.98,360,1.208,0
265,10,0.99,360,0.778,0
266,10,1,360,0.432,0
267,9.7,1,360,0.721,0
268,10,1,360,1.048,363600
269,11.4,0.98,360,0.827,1252400
270,13.1,0.9,360,0.691,2464400
271,15.8,0.75,360,1.303,3676400
272,16.6,0.68,360,1.819,4888400
273,16.7,0.7,360,3.328,5575200
274,17.5,0.64,360,3.783,5575200
275,18.2,0.63,360,3.578,6221600
276,18.6,0.61,360,3.494,5777200
277,18.8,0.61,360,3.245,5736800
278,19.2,0.59,360,2.909,5454000
279,19.1,0.58,360,2.571,3555200
280,19.2,0.55,360,2.836,3070400
281,17,0.65,360,2.919,1858400
282,16.1,0.72,360,3.229,686800
283,13.7,0.84,360,2.549,121200
284,12.3,0.87,360,2.77,0
285,11.5,0.88,360,1.526,0
286,10.7,0.89,360,0.921,0
287,9.9,0.94,360,0.848,0
288,9.1,0.96,360,0.878,0
289,8.5,0.97,360,1.008,0
290,7.5,0.99,360,1.159,0
291,7.2,1,360,0.901,0
292,7.9,1,360,0.688,242400
293,9.7,0.99,360,0.788,1212000
294,10.6,0.95,360,0.967,1292800
295,10.9,0.95,360,0.98,565600
296,11.8,0.91,360,0.83,646400
297,11.7,0.94,360,0.664,686800
298,13.9,0.86,360,1.093,2666400
299,16,0.77,360,1.095,5413600
300,16.1,0.74,360,1.592,2060400
301,16.3,0.78,360,1.292,2545200
302,15.8,0.82,360,1.393,1696800
303,15,0.82,360,2.068,646400
304,15.3,0.76,360,1.823,646400
305,14.8,0.81,360,0.809,484800
306,14.1,0.85,360,1.018,121200
307,13.3,0.89,360,0.776,40400
308,12.3,0.92,360,0.759,0
309,12.2,0.93,360,0.423,0
310,12.2,0.94,360,0.64,0
311,12.3,0.96,360,0.382,0
312,11.8,0.99,360,0.641,0
313,10.2,1,360,0.808,0
314,9.8,1,360,1.053,0
315,10.2,1,360,0.844,0
316,10.3,1,360,1.469,161600
317,10.8,1,360,1.12,565600
318,13,0.95,360,1.44,1777600
319,14.3,0.85,360,1.146,2464400
320,15.8,0.78,360,0.696,4403600
321,16.3,0.76,360,1.117,3716800
322,16.2,0.76,360,1.27,3151200
323,16.9,0.74,360,1.42,2949200
324,17.6,0.7,360,1.775,4444000
325,17.4,0.69,360,2.402,3918800
326,18.6,0.62,360,2.677,4524800
327,19.1,0.62,360,2.01,3110800
328,19.2,0.57,360,1.807,3232000
329,18.5,0.63,360,1.746,2060400
330,16.1,0.75,360,1.639,565600
331,14.7,0.81,360,1.167,40400
332,14.7,0.83,360,0.793,0
333,14.6,0.84,360,0.432,0
334,14,0.86,360,0.197,0
335,13.7,0.91,360,0.28,0
336,13.5,0.92,360,0.164,0
337,12.9,0.95,360,0.282,0
338,12.2,0.97,360,0.405,0
339,12.5,0.96,360,0.653,0
340,12.6,0.98,360,0.351,242400
341,14.6,0.89,360,0.651,606000
342,15.6,0.84,360,0.511,1010000
343,16.1,0.82,360,1.258,1373600
344,17.3,0.77,360,1.984,2585600
345,18.6,0.69,360,2.192,4363200
346,17.3,0.76,360,2.427,2585600
347,18.1,0.7,360,3.125,2383600
348,18.5,0.69,360,3.139,3878400
349,17.9,0.68,360,3.741,2787600
350,18.4,0.7,360,3.788,3353200
351,18.2,0.68,360,3.362,3191600
352,18.1,0.65,360,3.461,2100800
353,17.2,0.72,360,2.881,929200
354,15.9,0.79,360,2.03,444400
355,14.7,0.84,360,1.192,80800
356,14.6,0.85,360,0.373,0
357,14.7,0.84,360,0.349,0
358,13.7,0.93,360,0.946,0
359,13.1,0.96,360,1.77,0
360,12.9,0.97,360,1.266,0
361,12.8,0.98,360,1.402,0
362,12.6,0.98,360,2.266,0
363,12.6,0.98,360,2.357,0
364,12.6,0.99,360,2.476,80800
365,12.8,0.98,360,2.234,242400
366,12.9,0.97,360,2.4,646400
367,13.3,0.96,360,2.878,1252400
368,14.1,0.95,360,3.559,1656400
369,14.9,0.92,360,3.045,2464400
370,15.1,0.91,360,3.187,1979600
371,15.1,0.93,360,2.336,1818000
372,12.5,0.96,360,2.034,1333200
373,12.7,0.99,360,2.745,1010000
374,12.9,0.93,360,3.649,2545200
375,14.2,0.84,360,4.603,2141200
376,14.5,0.76,360,3.683,2949200
377,13.9,0.78,360,4.124,1777600
378,13,0.7,360,3.452,888800
379,10.3,0.78,360,3.524,161600
380,9.5,0.79,360,2.988,0
381,9.2,0.81,360,1.806,0
382,9,0.84,360,1.933,0
383,8.4,0.86,360,2.094,0
384,8.2,0.88,360,2.604,0
385,8,0.9,360,2.487,0
386,7.9,0.9,360,2.712,0
387,7.9,0.91,360,2.418,0
388,8.6,0.9,360,2.475,404000
389,9.9,0.87,360,2.358,1333200
390,11.4,0.82,360,2.741,2222000
391,13.4,0.78,360,2.976,3838000
392,13.8,0.68,360,2.771,3999600
393,15.5,0.62,360,3.053,5777200
394,16.1,0.56,360,2.998,6100400
395,16.4,0.52,360,3.371,5454000
396,17.5,0.46,360,2.626,5575200
397,18,0.48,360,2.158,6423600
398,17.7,0.46,360,2.52,5050000
399,18.5,0.47,360,2.382,4282400
400,18.2,0.49,360,2.107,2949200
401,17.7,0.52,360,2.529,1777600
402,16.2,0.57,360,1.717,888800
403,14.8,0.6,360,1.41,121200
404,13.2,0.73,360,0.36,0
405,11.8,0.82,360,0.722,0
406,11.7,0.82,360,0.714,0
407,10.4,0.86,360,0.741,0
408,10,0.9,360,0.897,0
409,9.7,0.9,360,1.089,0
410,9.4,0.9,360,1.198,0
411,9.2,0.9,360,1.177,0
412,10.8,0.87,360,1.127,363600
413,13.7,0.79,360,1.052,1414000
414,15.9,0.71,360,1.189,2585600
415,18.5,0.62,360,1.755,3797600
416,20.5,0.58,360,2.005,4848000
417,21.9,0.53,360,2.068,5696400
418,23.3,0.5,360,2.4,6262000
419,24.7,0.46,360,2.595,6423600
420,25.7,0.45,360,2.589,6544800
421,26.6,0.43,360,2.236,6100400
422,26.8,0.49,360,2.552,5413600
423,26.9,0.45,360,2.762,3999600
424,26,0.48,360,3.15,2181600
425,24.1,0.58,360,2.561,1090800
426,22.7,0.65,360,1.496,767600
427,20.2,0.75,360,1.375,161600
428,19.3,0.79,360,1.47,0
429,18.7,0.82,360,1.552,0
430,18.4,0.81,360,1.642,0
431,19.8,0.69,360,1.805,0
432,21.1,0.66,360,1.58,0
433,20.9,0.69,360,2.546,0
434,20,0.75,360,3.342,0
435,17.6,0.87,360,2.655,0
436,18.1,0.88,360,0.974,202000
437,20.2,0.79,360,1.319,929200
438,20.4,0.76,360,1.587,1050400
439,20.1,0.79,360,3.581,888800
440,20.8,0.77,360,2.483,1535200
441,22.6,0.7,360,1.051,3151200
442,23.8,0.65,360,1.478,4646000
443,23.9,0.67,360,1.253,3959200
444,24.8,0.68,360,1.842,5252000
445,25.8,0.59,360,2.101,5615600
446,25.7,0.61,360,2.601,5050000
447,24.7,0.64,360,3.438,3878400
448,25.3,0.6,360,2.813,2989600
449,24.8,0.64,360,2.911,1858400
450,22.4,0.79,360,2.644,686800
451,21.3,0.84,360,1.804,161600
452,19.7,0.91,360,0.931,0
453,18.5,0.93,360,0.422,0
454,18.1,0.95,360,0.866,0
455,17.3,0.93,360,0.999,0
456,16.4,0.92,360,1.345,0
457,16,0.92,360,1.797,0
458,15.3,0.97,360,1.686,0
459,15.2,0.99,360,1.439,0
460,15.9,0.99,360,1.637,121200
461,16.7,0.97,360,0.751,161600
462,17.3,0.95,360,0.774,1535200
463,18.3,0.9,360,1.574,2504800
464,19.3,0.89,360,1.527,2424000
465,21.1,0.81,360,0.973,5332800
466,22.3,0.76,360,1.492,6140800
467,24.4,0.63,360,1.112,6504400
468,24.9,0.62,360,1.133,5898400
469,25.1,0.62,360,0.927,5656000
470,26.2,0.58,360,1.058,4524800
471,26.4,0.62,360,1.334,3434000
472,26.2,0.59,360,1.589,2747200
473,22.9,0.74,360,1.307,363600
474,18.7,0.87,360,1.81,242400
475,18.5,0.9,360,3.188,0
476,17.1,0.98,360,1.685,0
477,17.2,0.99,360,2.644,0
478,17.4,1,360,2.136,0
479,16.3,1,360,2.099,0
480,16.3,1,360,0.93,0
481,15,1,360,0.716,0
482,14.8,1,360,0.817,0
483,15.1,1,360,0.61,40400
484,15.1,1,360,0.567,323200
485,17.4,1,360,1.137,40400
486,17.6,0.96,360,2.653,161600
487,19.7,0.91,360,2.873,2181600
488,22.2,0.81,360,1.468,4565200
489,23.4,0.78,360,1.231,4807600
490,23.3,0.75,360,2.702,5050000
491,24.3,0.68,360,1.994,4282400
492,22.5,0.77,360,1.717,2747200
493,21.9,0.77,360,2.39,80800
494,22.5,0.77,360,3.124,1454400
495,25.2,0.64,360,2.485,4201600
496,23.3,0.75,360,0.963,2545200
497,22.7,0.82,360,1.804,848400
498,21.9,0.86,360,1.183,202000
499,20.5,0.91,360,1.262,0
500,19.3,0.94,360,1.226,0
501,19.6,0.94,360,1.246,0
502,19.3,0.96,360,1.788,0
503,18.7,0.99,360,1.86,0
504,18.8,0.99,360,1.764,0
505,18,1,360,2.075,0
506,17.2,1,360,1.122,0
507,17.3,0.99,360,0.989,40400
508,17,0.97,360,1.102,161600
509,17.8,0.97,360,1.768,1252400
510,17.8,0.99,360,1.699,929200
511,17.3,1,360,2.329,606000
512,17.3,0.98,360,2.496,1575600
513,16.9,0.99,360,1.937,404000
514,16.5,0.99,360,1.332,404000
515,16.3,0.98,360,1.339,404000
516,17.2,0.91,360,1.308,1414000
517,19.4,0.73,360,1.156,3070400
518,22.1,0.64,360,0.893,5454000
519,22,0.58,360,0.93,4646000
520,21.8,0.53,360,1.273,3232000
521,21.6,0.63,360,1.765,2302800
522,20.1,0.75,360,1.295,929200
523,18.2,0.78,360,0.805,121200
524,16.4,0.9,360,0.663,0
525,16,0.92,360,0.878,0
526,15.4,0.95,360,0.44,0
527,15,0.97,360,0.554,0
528,15.1,0.98,360,0.519,0
529,15.7,0.98,360,0.528,0
530,15.8,0.96,360,0.973,0
531,15.6,0.95,360,1.188,0
532,15.7,0.95,360,0.888,202000
533,16.4,0.92,360,0.585,565600
534,17.3,0.87,360,0.839,1292800
535,18.9,0.7,360,1.295,3474400
536,19.8,0.64,360,2.413,4201600
537,20.6,0.65,360,2.415,5211600
538,21.9,0.57,360,1.844,6302400
539,22.2,0.56,360,1.453,6100400
540,23.1,0.57,360,1.613,5898400
541,22.9,0.57,360,1.887,5938800
542,22.9,0.62,360,2.241,5252000
543,23.1,0.55,360,2.525,4322800
544,22.5,0.58,360,2.828,3272400
545,21.9,0.61,360,3.118,2060400
546,20,0.69,360,2.95,969600
547,17.6,0.78,360,2.468,161600
548,16.3,0.84,360,1.505,0
549,16,0.85,360,1.213,0
550,14.9,0.86,360,2.286,0
551,14.5,0.87,360,1.091,0
552,14.4,0.86,360,1.836,0
553,13.5,0.9,360,2.269,0
554,13.4,0.89,360,2.027,0
555,13,0.89,360,1.833,0
556,14,0.85,360,1.475,363600
557,15.7,0.78,360,0.403,1292800
558,17.3,0.71,360,1.275,2383600
559,19,0.69,360,1.797,3676400
560,20.6,0.64,360,2.722,4726800
561,21.7,0.61,360,3.294,5656000
562,22.6,0.61,360,3.837,6221600
563,22.8,0.58,360,3.473,6544800
564,23,0.56,360,3.16,6504400
565,23.2,0.56,360,3.74,6140800
566,23.4,0.54,360,3.427,5454000
567,23.2,0.53,360,3.339,4484400
568,22.6,0.48,360,3.454,3272400
569,21.9,0.56,360,3.604,2181600
570,20,0.61,360,3.245,848400
571,17.1,0.74,360,2.285,242400
572,15.8,0.8,360,1.645,0
573,14.6,0.87,360,1.232,0
574,13.9,0.88,360,1.247,0
575,13.9,0.88,360,1.103,0
576,13.4,0.9,360,0.861,0
577,13.5,0.9,360,1.103,0
578,12.7,0.93,360,1.283,0
579,12.1,0.95,360,1.373,0
580,13.5,0.92,360,1.625,404000
581,15.5,0.84,360,1.444,1414000
582,17.2,0.81,360,1.592,2585600
583,19.2,0.7,360,2.9,3878400
584,20.9,0.64,360,2.526,4969200
585,21.6,0.6,360,3.26,5858000
586,22.2,0.55,360,3.615,5696400
587,22.6,0.59,360,3.911,6625600
588,22.8,0.59,360,3.61,6706400
589,23.4,0.56,360,4.068,6221600
590,23.3,0.55,360,3.936,5292400
591,23.1,0.56,360,3.674,4363200
592,22.3,0.57,360,3.848,2908800
593,20.6,0.63,360,3.885,1575600
594,19.8,0.69,360,3.721,1010000
595,17.1,0.79,360,2.938,161600
596,15.6,0.86,360,1.769,0
597,14.7,0.89,360,0.996,0
598,14.1,0.91,360,0.956,0
599,14.3,0.89,360,0.793,0
600,14,0.9,360,0.701,0
601,14,0.91,360,0.707,0
602,13.4,0.91,360,1.058,0
603,13.1,0.93,360,0.854,0
604,14.1,0.9,360,0.573,444400
605,15.5,0.85,360,1.323,1414000
606,17.2,0.78,360,1.496,2949200
607,17.1,0.76,360,2.78,3232000
608,18.9,0.71,360,3.701,4848000
609,18.8,0.74,360,3.901,4686400
610,18.5,0.75,360,4.43,4484400
611,18.7,0.75,360,4.82,2626000
612,19.8,0.68,360,4.2,4403600
613,20.4,0.66,360,4.48,3676400
614,19.8,0.67,360,4.459,2868400
615,20.1,0.64,360,4.72,3110800
616,19.3,0.59,360,4.914,2706800
617,17.7,0.68,360,5.538,1818000
618,17.1,0.66,360,5.367,686800
619,14.5,0.79,360,4.81,202000
620,13.6,0.82,360,3.801,0
621,13.4,0.81,360,2.169,0
622,12.4,0.84,360,3.259,0
623,11.7,0.87,360,3.942,0
624,11,0.91,360,3.655,0
625,10.7,0.92,360,1.871,0
626,10.2,0.95,360,1.274,0
627,10.3,0.95,360,1.525,0
628,11.2,0.95,360,0.823,323200
629,11.7,0.93,360,0.853,444400
630,12.8,0.9,360,1.913,848400
631,14,0.87,360,2.571,1333200
632,15.5,0.81,360,2.898,2464400
633,17.1,0.75,360,4.048,5171200
634,17.7,0.7,360,5.49,4403600
635,17.4,0.67,360,4.949,5050000
636,19.2,0.62,360,4.973,5130800
637,19,0.62,360,4.287,4686400
638,18.9,0.56,360,4.42,4646000
639,18.6,0.59,360,4.794,3636000
640,18.7,0.6,360,5.25,3353200
641,17.6,0.61,360,5.227,1979600
642,16.5,0.66,360,4.861,1090800
643,14.4,0.76,360,5,161600
644,13.6,0.81,360,3.634,0
645,12.9,0.83,360,3.308,0
646,12,0.83,360,3.697,0
647,11.1,0.86,360,3.521,0
648,10.3,0.91,360,3.147,0
649,9.8,0.94,360,2.063,0
650,9.8,0.95,360,1.737,0
651,10.1,0.95,360,1.414,40400
652,11.3,0.91,360,1.943,363600
653,12.6,0.87,360,1.404,1414000
654,14.4,0.81,360,1.762,2626000
655,15.4,0.74,360,3.44,3838000
656,16.5,0.7,360,5.309,4888400
657,18,0.66,360,5.066,5938800
658,18.4,0.65,360,5.062,6262000
659,17.2,0.66,360,5.201,5858000
660,18.4,0.62,360,5.271,5252000
661,18.2,0.6,360,4.697,6060000
662,18.4,0.61,360,4.808,4928800
663,18,0.63,360,5.602,4161200
664,16.6,0.71,360,5.546,2262400
665,16,0.76,360,5.43,484800
666,15.2,0.81,360,4.472,404000
667,14,0.86,360,5.196,80800
668,14.4,0.82,360,4.147,0
669,14,0.84,360,2.887,0
670,14,0.83,360,2.922,0
671,12.5,0.88,360,4.146,0
672,12.6,0.89,360,3.962,0
673,12.4,0.9,360,3.428,0
674,11.8,0.92,360,2.917,0
675,12,0.93,360,3.239,0
676,12.2,0.93,360,2.195,121200
677,13,0.89,360,2.416,404000
678,13.7,0.76,360,3.104,1252400
679,14.4,0.73,360,4.643,1737200
680,13.9,0.72,360,4.37,1656400
681,14.8,0.7,360,4.484,2585600
682,15,0.69,360,4.971,2343200
683,16.9,0.65,360,4.666,4444000
684,16.8,0.67,360,4.702,4040000
685,17.4,0.66,360,4.632,3838000
686,17.2,0.68,360,5.212,2747200
687,17.5,0.66,360,5.199,2181600
688,17.3,0.7,360,4.675,1939200
689,16.6,0.74,360,5.227,808000
690,16.2,0.77,360,4.066,525200
691,15.3,0.81,360,3.46,121200
692,14.5,0.84,360,3.387,0
693,14.2,0.84,360,3.4,0
694,13.4,0.86,360,3.461,0
695,12.6,0.88,360,3.781,0
696,11.9,0.9,360,3.768,0
697,11.9,0.9,360,3.253,0
698,12.1,0.9,360,2.472,0
699,12.2,0.89,360,2.59,0
700,12.2,0.9,360,2.196,121200
701,12.7,0.88,360,2.466,363600
702,13.6,0.85,360,2.356,929200
703,14.9,0.83,360,2.806,2222000
704,16.8,0.75,360,3.855,4282400
705,17.9,0.74,360,3.599,4444000
706,19,0.68,360,3.555,5938800
707,20.2,0.65,360,4.127,6948800
708,20.7,0.62,360,4.725,6221600
709,20.8,0.59,360,4.346,5615600
710,21.5,0.52,360,4.286,5130800
711,21.1,0.47,360,3.856,4201600
712,20.7,0.47,360,4.19,3070400
713,20.1,0.5,360,4.123,2141200
714,17.8,0.68,360,4.554,444400
715,16.7,0.78,360,3.418,161600
716,15.2,0.84,360,3.03,0
717,13.8,0.91,360,2.989,0
718,13.6,0.93,360,1.858,0
719,12.8,0.94,360,1.925,0
720,12.7,0.93,360,1.444,0
721,11.5,0.97,360,1.229,0
722,11.3,0.98,360,1.232,0
723,10.4,0.99,360,0.942,0
724,11.7,1,360,0.519,121200
725,12.1,0.99,360,1.622,404000
726,12.5,0.95,360,2.108,565600
727,13.9,0.83,360,2.667,1171600
728,14.6,0.82,360,2.307,1373600
729,15.2,0.77,360,2.273,1898800
730,16.6,0.7,360,2.426,2787600
731,17.3,0.7,360,1.635,4322800
732,18.5,0.6,360,1.393,6666000
733,20,0.56,360,1.491,5938800
734,20.9,0.54,360,1.655,5494400
735,21.4,0.54,360,1.925,4565200
736,20.9,0.5,360,2.35,3312800
737,20.7,0.55,360,2.568,2222000
738,19.4,0.62,360,2.282,1010000
739,16.6,0.75,360,1.717,202000
740,15.3,0.79,360,0.843,0
741,15.2,0.77,360,0.83,0
742,13.9,0.87,360,0.888,0
743,13.9,0.93,360,0.809,0
