t,plant,axis,phytomer
35.000000,1,MS,3
35.000000,1,MS,4
35.000000,1,MS,5
35.000000,1,MS,6
36.000000,1,MS,1
36.000000,1,MS,2
36.000000,1,MS,3
36.000000,1,MS,4
36.000000,1,MS,5
36.000000,1,MS,6
37.000000,1,MS,1
37.000000,1,MS,2
37.000000,1,MS,3
37.000000,1,MS,4
37.000000,1,MS,5
37.000000,1,MS,6
38.000000,1,MS,1
38.000000,1,MS,2
38.000000,1,MS,3
38.000000,1,MS,4
38.000000,1,MS,5
38.000000,1,MS,6
39.000000,1,MS,1
39.000000,1,MS,2
39.000000,1,MS,3
39.000000,1,MS,4
39.000000,1,MS,5
39.000000,1,MS,6
40.000000,1,MS,1
40.000000,1,MS,2
40.000000,1,MS,3
40.000000,1,MS,4
40.000000,1,MS,5
40.000000,1,MS,6
41.000000,1,MS,1
41.000000,1,MS,2
41.000000,1,MS,3
41.000000,1,MS,4
41.000000,1,MS,5
41.000000,1,MS,6
42.000000,1,MS,1
42.000000,1,MS,2
42.000000,1,MS,3
42.000000,1,MS,4
42.000000,1,MS,5
42.000000,1,MS,6
43.000000,1,MS,1
43.000000,1,MS,2
43.000000,1,MS,3
43.000000,1,MS,4
43.000000,1,MS,5
43.000000,1,MS,6
44.000000,1,MS,1
44.000000,1,MS,2
44.000000,1,MS,3
44.000000,1,MS,4
44.000000,1,MS,5
44.000000,1,MS,6
45.000000,1,MS,1
45.000000,1,MS,2
45.000000,1,MS,3
45.000000,1,MS,4
45.000000,1,MS,5
45.000000,1,MS,6
46.000000,1,MS,1
46.000000,1,MS,2
46.000000,1,MS,3
46.000000,1,MS,4
46.000000,1,MS,5
46.000000,1,MS,6
47.000000,1,MS,1
47.000000,1,MS,2
47.000000,1,MS,3
47.000000,1,MS,4
47.000000,1,MS,5
47.000000,1,MS,6
48.000000,1,MS,1
48.000000,1,MS,2
48.000000,1,MS,3
48.000000,1,MS,4
48.000000,1,MS,5
48.000000,1,MS,6
49.000000,1,MS,1
49.000000,1,MS,2
49.000000,1,MS,3
49.000000,1,MS,4
49.000000,1,MS,5
49.000000,1,MS,6
50.000000,1,MS,1
50.000000,1,MS,2
50.000000,1,MS,3
50.000000,1,MS,4
50.000000,1,MS,5
50.000000,1,MS,6
51.000000,1,MS,1
51.000000,1,MS,2
51.000000,1,MS,3
51.000000,1,MS,4
51.000000,1,MS,5
51.000000,1,MS,6
52.000000,1,MS,1
52.000000,1,MS,2
52.000000,1,MS,3
52.000000,1,MS,4
52.000000,1,MS,5
52.000000,1,MS,6
53.000000,1,MS,1
53.000000,1,MS,2
53.000000,1,MS,3
53.000000,1,MS,4
53.000000,1,MS,5
53.000000,1,MS,6
54.000000,1,MS,1
54.000000,1,MS,2
54.000000,1,MS,3
54.000000,1,MS,4
54.000000,1,MS,5
54.000000,1,MS,6
55.000000,1,MS,1
55.000000,1,MS,2
55.000000,1,MS,3
55.000000,1,MS,4
55.000000,1,MS,5
55.000000,1,MS,6
56.000000,1,MS,1
56.000000,1,MS,2
56.000000,1,MS,3
56.000000,1,MS,4
56.000000,1,MS,5
56.000000,1,MS,6
57.000000,1,MS,1
57.000000,1,MS,2
57.000000,1,MS,3
57.000000,1,MS,4
57.000000,1,MS,5
57.000000,1,MS,6
58.000000,1,MS,1
58.000000,1,MS,2
58.000000,1,MS,3
58.000000,1,MS,4
58.000000,1,MS,5
58.000000,1,MS,6
59.000000,1,MS,1
59.000000,1,MS,2
59.000000,1,MS,3
59.000000,1,MS,4
59.000000,1,MS,5
59.000000,1,MS,6
60.000000,1,MS,1
60.000000,1,MS,2
60.000000,1,MS,3
60.000000,1,MS,4
60.000000,1,MS,5
60.000000,1,MS,6
61.000000,1,MS,1
61.000000,1,MS,2
61.000000,1,MS,3
61.000000,1,MS,4
61.000000,1,MS,5
61.000000,1,MS,6
62.000000,1,MS,1
62.000000,1,MS,2
62.000000,1,MS,3
62.000000,1,MS,4
62.000000,1,MS,5
62.000000,1,MS,6
63.000000,1,MS,1
63.000000,1,MS,2
63.000000,1,MS,3
63.000000,1,MS,4
63.000000,1,MS,5
63.000000,1,MS,6
64.000000,1,MS,1
64.000000,1,MS,2
64.000000,1,MS,3
64.000000,1,MS,4
64.000000,1,MS,5
64.000000,1,MS,6
65.000000,1,MS,1
65.000000,1,MS,2
65.000000,1,MS,3
65.000000,1,MS,4
65.000000,1,MS,5
65.000000,1,MS,6
66.000000,1,MS,1
66.000000,1,MS,2
66.000000,1,MS,3
66.000000,1,MS,4
66.000000,1,MS,5
66.000000,1,MS,6
