t,plant,axis,phytomer,organ,element,green_area
3.0,1.0,MS,2,Lamina,exposed,0.0034
3.0,1.0,MS,2,Sheath,exposed,0.0005
3.0,1.0,MS,3,Internode,enclosed,0.00025
3.0,1.0,MS,3,Lamina,exposed,0.00228
3.0,1.0,MS,3,Sheath,exposed,0.0003232
3.0,1.0,MS,4,Peduncle,exposed,0.000810959
3.0,1.0,MS,4,Peduncle,enclosed,0.00159
3.0,1.0,MS,5,Chaff,exposed,0.00075
4.0,1.0,MS,1,Internode,exposed,0.000371
4.0,1.0,MS,1,Internode,enclosed,0.001129
4.0,1.0,MS,1,Lamina,exposed,0.00346
4.0,1.0,MS,1,Sheath,exposed,0.0006
4.0,1.0,MS,2,Internode,enclosed,0.0004
4.0,1.0,MS,2,Lamina,exposed,0.0034
4.0,1.0,MS,2,Sheath,exposed,0.0005
4.0,1.0,MS,3,Internode,enclosed,0.00025
4.0,1.0,MS,3,Lamina,exposed,0.00228
4.0,1.0,MS,3,Sheath,exposed,0.0003232
4.0,1.0,MS,4,Peduncle,exposed,0.000810959
4.0,1.0,MS,4,Peduncle,enclosed,0.00159
4.0,1.0,MS,5,Chaff,exposed,0.00075
5.0,1.0,MS,1,Internode,exposed,0.000371
5.0,1.0,MS,1,Internode,enclosed,0.001129
5.0,1.0,MS,1,Lamina,exposed,0.00346
5.0,1.0,MS,1,Sheath,exposed,0.0006
5.0,1.0,MS,2,Internode,enclosed,0.0004
5.0,1.0,MS,2,Lamina,exposed,0.0034
5.0,1.0,MS,2,Sheath,exposed,0.0005
5.0,1.0,MS,3,Internode,enclosed,0.00025
5.0,1.0,MS,3,Lamina,exposed,0.00228
5.0,1.0,MS,3,Sheath,exposed,0.0003232
5.0,1.0,MS,4,Peduncle,exposed,0.000810959
5.0,1.0,MS,4,Peduncle,enclosed,0.00159
5.0,1.0,MS,5,Chaff,exposed,0.00075
6.0,1.0,MS,1,Internode,exposed,0.000371
6.0,1.0,MS,1,Internode,enclosed,0.001129
6.0,1.0,MS,1,Lamina,exposed,0.00346
6.0,1.0,MS,1,Sheath,exposed,0.0006
6.0,1.0,MS,2,Internode,enclosed,0.0004
6.0,1.0,MS,2,Lamina,exposed,0.0034
6.0,1.0,MS,2,Sheath,exposed,0.0005
6.0,1.0,MS,3,Internode,enclosed,0.00025
6.0,1.0,MS,3,Lamina,exposed,0.00228
6.0,1.0,MS,3,Sheath,exposed,0.0003232
6.0,1.0,MS,4,Peduncle,exposed,0.000810959
6.0,1.0,MS,4,Peduncle,enclosed,0.00159
6.0,1.0,MS,5,Chaff,exposed,0.00075
7.0,1.0,MS,1,Internode,exposed,0.000371
7.0,1.0,MS,1,Internode,enclosed,0.001129
7.0,1.0,MS,1,Lamina,exposed,0.00346
7.0,1.0,MS,1,Sheath,exposed,0.0006
7.0,1.0,MS,2,Internode,enclosed,0.0004
7.0,1.0,MS,2,Lamina,exposed,0.0034
7.0,1.0,MS,2,Sheath,exposed,0.0005
7.0,1.0,MS,3,Internode,enclosed,0.00025
7.0,1.0,MS,3,Lamina,exposed,0.00228
7.0,1.0,MS,3,Sheath,exposed,0.0003232
7.0,1.0,MS,4,Peduncle,exposed,0.000810959
7.0,1.0,MS,4,Peduncle,enclosed,0.00159
7.0,1.0,MS,5,Chaff,exposed,0.00075
8.0,1.0,MS,1,Internode,exposed,0.000371
8.0,1.0,MS,1,Internode,enclosed,0.001129
8.0,1.0,MS,1,Lamina,exposed,0.00346
8.0,1.0,MS,1,Sheath,exposed,0.0006
8.0,1.0,MS,2,Internode,enclosed,0.0004
8.0,1.0,MS,2,Lamina,exposed,0.0034
8.0,1.0,MS,2,Sheath,exposed,0.0005
8.0,1.0,MS,3,Internode,enclosed,0.00025
8.0,1.0,MS,3,Lamina,exposed,0.00228
8.0,1.0,MS,3,Sheath,exposed,0.0003232
8.0,1.0,MS,4,Peduncle,exposed,0.000810959
8.0,1.0,MS,4,Peduncle,enclosed,0.00159
8.0,1.0,MS,5,Chaff,exposed,0.00075
9.0,1.0,MS,1,Internode,exposed,0.000371
9.0,1.0,MS,1,Internode,enclosed,0.001129
9.0,1.0,MS,1,Lamina,exposed,0.00346
9.0,1.0,MS,1,Sheath,exposed,0.0006
9.0,1.0,MS,2,Internode,enclosed,0.0004
9.0,1.0,MS,2,Lamina,exposed,0.0034
9.0,1.0,MS,2,Sheath,exposed,0.0005
9.0,1.0,MS,3,Internode,enclosed,0.00025
9.0,1.0,MS,3,Lamina,exposed,0.00228
9.0,1.0,MS,3,Sheath,exposed,0.0003232
9.0,1.0,MS,4,Peduncle,exposed,0.000810959
9.0,1.0,MS,4,Peduncle,enclosed,0.00159
9.0,1.0,MS,5,Chaff,exposed,0.00075
10.0,1.0,MS,1,Internode,exposed,0.000371
10.0,1.0,MS,1,Internode,enclosed,0.001129
10.0,1.0,MS,1,Lamina,exposed,0.00346
10.0,1.0,MS,1,Sheath,exposed,0.0006
10.0,1.0,MS,2,Internode,enclosed,0.0004
10.0,1.0,MS,2,Lamina,exposed,0.0034
10.0,1.0,MS,2,Sheath,exposed,0.0005
10.0,1.0,MS,3,Internode,enclosed,0.00025
10.0,1.0,MS,3,Lamina,exposed,0.00228
10.0,1.0,MS,3,Sheath,exposed,0.0003232
10.0,1.0,MS,4,Peduncle,exposed,0.000810959
10.0,1.0,MS,4,Peduncle,enclosed,0.00159
10.0,1.0,MS,5,Chaff,exposed,0.00075
11.0,1.0,MS,1,Internode,exposed,0.000371
11.0,1.0,MS,1,Internode,enclosed,0.001129
11.0,1.0,MS,1,Lamina,exposed,0.00346
11.0,1.0,MS,1,Sheath,exposed,0.0006
11.0,1.0,MS,2,Internode,enclosed,0.0004
11.0,1.0,MS,2,Lamina,exposed,0.0034
11.0,1.0,MS,2,Sheath,exposed,0.0005
11.0,1.0,MS,3,Internode,enclosed,0.00025
11.0,1.0,MS,3,Lamina,exposed,0.00228
11.0,1.0,MS,3,Sheath,exposed,0.0003232
11.0,1.0,MS,4,Peduncle,exposed,0.000810959
11.0,1.0,MS,4,Peduncle,enclosed,0.00159
11.0,1.0,MS,5,Chaff,exposed,0.00075
12.0,1.0,MS,1,Internode,exposed,0.000371
12.0,1.0,MS,1,Internode,enclosed,0.001129
12.0,1.0,MS,1,Lamina,exposed,0.00346
12.0,1.0,MS,1,Sheath,exposed,0.0006
12.0,1.0,MS,2,Internode,enclosed,0.0004
12.0,1.0,MS,2,Lamina,exposed,0.0034
12.0,1.0,MS,2,Sheath,exposed,0.0005
12.0,1.0,MS,3,Internode,enclosed,0.00025
12.0,1.0,MS,3,Lamina,exposed,0.00228
12.0,1.0,MS,3,Sheath,exposed,0.0003232
12.0,1.0,MS,4,Peduncle,exposed,0.000810959
12.0,1.0,MS,4,Peduncle,enclosed,0.00159
12.0,1.0,MS,5,Chaff,exposed,0.00075
13.0,1.0,MS,1,Internode,exposed,0.000371
13.0,1.0,MS,1,Internode,enclosed,0.001129
13.0,1.0,MS,1,Lamina,exposed,0.00346
13.0,1.0,MS,1,Sheath,exposed,0.0006
13.0,1.0,MS,2,Internode,enclosed,0.0004
13.0,1.0,MS,2,Lamina,exposed,0.0034
13.0,1.0,MS,2,Sheath,exposed,0.0005
13.0,1.0,MS,3,Internode,enclosed,0.00025
13.0,1.0,MS,3,Lamina,exposed,0.00228
13.0,1.0,MS,3,Sheath,exposed,0.0003232
13.0,1.0,MS,4,Peduncle,exposed,0.000810959
13.0,1.0,MS,4,Peduncle,enclosed,0.00159
13.0,1.0,MS,5,Chaff,exposed,0.00075
14.0,1.0,MS,1,Internode,exposed,0.000371
14.0,1.0,MS,1,Internode,enclosed,0.001129
14.0,1.0,MS,1,Lamina,exposed,0.00346
14.0,1.0,MS,1,Sheath,exposed,0.0006
14.0,1.0,MS,2,Internode,enclosed,0.0004
14.0,1.0,MS,2,Lamina,exposed,0.0034
14.0,1.0,MS,2,Sheath,exposed,0.0005
14.0,1.0,MS,3,Internode,enclosed,0.00025
14.0,1.0,MS,3,Lamina,exposed,0.00228
14.0,1.0,MS,3,Sheath,exposed,0.0003232
14.0,1.0,MS,4,Peduncle,exposed,0.000810959
14.0,1.0,MS,4,Peduncle,enclosed,0.00159
14.0,1.0,MS,5,Chaff,exposed,0.00075
15.0,1.0,MS,1,Internode,exposed,0.000371
15.0,1.0,MS,1,Internode,enclosed,0.001129
15.0,1.0,MS,1,Lamina,exposed,0.00346
15.0,1.0,MS,1,Sheath,exposed,0.0006
15.0,1.0,MS,2,Internode,enclosed,0.0004
15.0,1.0,MS,2,Lamina,exposed,0.0034
15.0,1.0,MS,2,Sheath,exposed,0.0005
15.0,1.0,MS,3,Internode,enclosed,0.00025
15.0,1.0,MS,3,Lamina,exposed,0.00228
15.0,1.0,MS,3,Sheath,exposed,0.0003232
15.0,1.0,MS,4,Peduncle,exposed,0.000810959
15.0,1.0,MS,4,Peduncle,enclosed,0.00159
15.0,1.0,MS,5,Chaff,exposed,0.00075
16.0,1.0,MS,1,Internode,exposed,0.000371
16.0,1.0,MS,1,Internode,enclosed,0.001129
16.0,1.0,MS,1,Lamina,exposed,0.00346
16.0,1.0,MS,1,Sheath,exposed,0.0006
16.0,1.0,MS,2,Internode,enclosed,0.0004
16.0,1.0,MS,2,Lamina,exposed,0.0034
16.0,1.0,MS,2,Sheath,exposed,0.0005
16.0,1.0,MS,3,Internode,enclosed,0.00025
16.0,1.0,MS,3,Lamina,exposed,0.00228
16.0,1.0,MS,3,Sheath,exposed,0.0003232
16.0,1.0,MS,4,Peduncle,exposed,0.000810959
16.0,1.0,MS,4,Peduncle,enclosed,0.00159
16.0,1.0,MS,5,Chaff,exposed,0.00075
17.0,1.0,MS,1,Internode,exposed,0.000371
17.0,1.0,MS,1,Internode,enclosed,0.001129
17.0,1.0,MS,1,Lamina,exposed,0.00346
17.0,1.0,MS,1,Sheath,exposed,0.0006
17.0,1.0,MS,2,Internode,enclosed,0.0004
17.0,1.0,MS,2,Lamina,exposed,0.0034
17.0,1.0,MS,2,Sheath,exposed,0.0005
17.0,1.0,MS,3,Internode,enclosed,0.00025
17.0,1.0,MS,3,Lamina,exposed,0.00228
17.0,1.0,MS,3,Sheath,exposed,0.0003232
17.0,1.0,MS,4,Peduncle,exposed,0.000810959
17.0,1.0,MS,4,Peduncle,enclosed,0.00159
17.0,1.0,MS,5,Chaff,exposed,0.00075
18.0,1.0,MS,1,Internode,exposed,0.000371
18.0,1.0,MS,1,Internode,enclosed,0.001129
18.0,1.0,MS,1,Lamina,exposed,0.00346
18.0,1.0,MS,1,Sheath,exposed,0.0006
18.0,1.0,MS,2,Internode,enclosed,0.0004
18.0,1.0,MS,2,Lamina,exposed,0.0034
18.0,1.0,MS,2,Sheath,exposed,0.0005
18.0,1.0,MS,3,Internode,enclosed,0.00025
18.0,1.0,MS,3,Lamina,exposed,0.00228
18.0,1.0,MS,3,Sheath,exposed,0.0003232
18.0,1.0,MS,4,Peduncle,exposed,0.000810959
18.0,1.0,MS,4,Peduncle,enclosed,0.00159
18.0,1.0,MS,5,Chaff,exposed,0.00075
19.0,1.0,MS,1,Internode,exposed,0.000371
19.0,1.0,MS,1,Internode,enclosed,0.001129
19.0,1.0,MS,1,Lamina,exposed,0.00346
19.0,1.0,MS,1,Sheath,exposed,0.0006
19.0,1.0,MS,2,Internode,enclosed,0.0004
19.0,1.0,MS,2,Lamina,exposed,0.0034
19.0,1.0,MS,2,Sheath,exposed,0.0005
19.0,1.0,MS,3,Internode,enclosed,0.00025
19.0,1.0,MS,3,Lamina,exposed,0.00228
19.0,1.0,MS,3,Sheath,exposed,0.0003232
19.0,1.0,MS,4,Peduncle,exposed,0.000810959
19.0,1.0,MS,4,Peduncle,enclosed,0.00159
19.0,1.0,MS,5,Chaff,exposed,0.00075
20.0,1.0,MS,1,Internode,exposed,0.000371
20.0,1.0,MS,1,Internode,enclosed,0.001129
20.0,1.0,MS,1,Lamina,exposed,0.00346
20.0,1.0,MS,1,Sheath,exposed,0.0006
20.0,1.0,MS,2,Internode,enclosed,0.0004
20.0,1.0,MS,2,Lamina,exposed,0.0034
20.0,1.0,MS,2,Sheath,exposed,0.0005
20.0,1.0,MS,3,Internode,enclosed,0.00025
20.0,1.0,MS,3,Lamina,exposed,0.00228
20.0,1.0,MS,3,Sheath,exposed,0.0003232
20.0,1.0,MS,4,Peduncle,exposed,0.000810959
20.0,1.0,MS,4,Peduncle,enclosed,0.00159
20.0,1.0,MS,5,Chaff,exposed,0.00075
21.0,1.0,MS,1,Internode,exposed,0.000371
21.0,1.0,MS,1,Internode,enclosed,0.001129
21.0,1.0,MS,1,Lamina,exposed,0.00346
21.0,1.0,MS,1,Sheath,exposed,0.0006
21.0,1.0,MS,2,Internode,enclosed,0.0004
21.0,1.0,MS,2,Lamina,exposed,0.0034
21.0,1.0,MS,2,Sheath,exposed,0.0005
21.0,1.0,MS,3,Internode,enclosed,0.00025
21.0,1.0,MS,3,Lamina,exposed,0.00228
21.0,1.0,MS,3,Sheath,exposed,0.0003232
21.0,1.0,MS,4,Peduncle,exposed,0.000810959
21.0,1.0,MS,4,Peduncle,enclosed,0.00159
21.0,1.0,MS,5,Chaff,exposed,0.00075
22.0,1.0,MS,1,Internode,exposed,0.000371
22.0,1.0,MS,1,Internode,enclosed,0.001129
22.0,1.0,MS,1,Lamina,exposed,0.00346
22.0,1.0,MS,1,Sheath,exposed,0.0006
22.0,1.0,MS,2,Internode,enclosed,0.0004
22.0,1.0,MS,2,Lamina,exposed,0.0034
22.0,1.0,MS,2,Sheath,exposed,0.0005
22.0,1.0,MS,3,Internode,enclosed,0.00025
22.0,1.0,MS,3,Lamina,exposed,0.00228
22.0,1.0,MS,3,Sheath,exposed,0.0003232
22.0,1.0,MS,4,Peduncle,exposed,0.000810959
22.0,1.0,MS,4,Peduncle,enclosed,0.00159
22.0,1.0,MS,5,Chaff,exposed,0.00075
23.0,1.0,MS,1,Internode,exposed,0.000371
23.0,1.0,MS,1,Internode,enclosed,0.001129
23.0,1.0,MS,1,Lamina,exposed,0.00346
23.0,1.0,MS,1,Sheath,exposed,0.0006
23.0,1.0,MS,2,Internode,enclosed,0.0004
23.0,1.0,MS,2,Lamina,exposed,0.0034
23.0,1.0,MS,2,Sheath,exposed,0.0005
23.0,1.0,MS,3,Internode,enclosed,0.00025
23.0,1.0,MS,3,Lamina,exposed,0.00228
23.0,1.0,MS,3,Sheath,exposed,0.0003232
23.0,1.0,MS,4,Peduncle,exposed,0.000810959
23.0,1.0,MS,4,Peduncle,enclosed,0.00159
23.0,1.0,MS,5,Chaff,exposed,0.00075
24.0,1.0,MS,1,Internode,exposed,0.000371
24.0,1.0,MS,1,Internode,enclosed,0.001129
24.0,1.0,MS,1,Lamina,exposed,0.00346
24.0,1.0,MS,1,Sheath,exposed,0.0006
24.0,1.0,MS,2,Internode,enclosed,0.0004
24.0,1.0,MS,2,Lamina,exposed,0.0034
24.0,1.0,MS,2,Sheath,exposed,0.0005
24.0,1.0,MS,3,Internode,enclosed,0.00025
24.0,1.0,MS,3,Lamina,exposed,0.00228
24.0,1.0,MS,3,Sheath,exposed,0.0003232
24.0,1.0,MS,4,Peduncle,exposed,0.000810959
24.0,1.0,MS,4,Peduncle,enclosed,0.00159
24.0,1.0,MS,5,Chaff,exposed,0.00075
25.0,1.0,MS,1,Internode,exposed,0.000371
25.0,1.0,MS,1,Internode,enclosed,0.001129
25.0,1.0,MS,1,Lamina,exposed,0.00346
25.0,1.0,MS,1,Sheath,exposed,0.0006
25.0,1.0,MS,2,Internode,enclosed,0.0004
25.0,1.0,MS,2,Lamina,exposed,0.0034
25.0,1.0,MS,2,Sheath,exposed,0.0005
25.0,1.0,MS,3,Internode,enclosed,0.00025
25.0,1.0,MS,3,Lamina,exposed,0.00228
25.0,1.0,MS,3,Sheath,exposed,0.0003232
25.0,1.0,MS,4,Peduncle,exposed,0.000810959
25.0,1.0,MS,4,Peduncle,enclosed,0.00159
25.0,1.0,MS,5,Chaff,exposed,0.00075
26.0,1.0,MS,1,Internode,exposed,0.000371
26.0,1.0,MS,1,Internode,enclosed,0.001129
26.0,1.0,MS,1,Lamina,exposed,0.00346
26.0,1.0,MS,1,Sheath,exposed,0.0006
26.0,1.0,MS,2,Internode,enclosed,0.0004
26.0,1.0,MS,2,Lamina,exposed,0.0034
26.0,1.0,MS,2,Sheath,exposed,0.0005
26.0,1.0,MS,3,Internode,enclosed,0.00025
26.0,1.0,MS,3,Lamina,exposed,0.00228
26.0,1.0,MS,3,Sheath,exposed,0.0003232
26.0,1.0,MS,4,Peduncle,exposed,0.000810959
26.0,1.0,MS,4,Peduncle,enclosed,0.00159
26.0,1.0,MS,5,Chaff,exposed,0.00075
27.0,1.0,MS,1,Internode,exposed,0.000371
27.0,1.0,MS,1,Internode,enclosed,0.001129
27.0,1.0,MS,1,Lamina,exposed,0.00346
27.0,1.0,MS,1,Sheath,exposed,0.0006
27.0,1.0,MS,2,Internode,enclosed,0.0004
27.0,1.0,MS,2,Lamina,exposed,0.0034
27.0,1.0,MS,2,Sheath,exposed,0.0005
27.0,1.0,MS,3,Internode,enclosed,0.00025
27.0,1.0,MS,3,Lamina,exposed,0.00228
27.0,1.0,MS,3,Sheath,exposed,0.0003232
27.0,1.0,MS,4,Peduncle,exposed,0.000810959
27.0,1.0,MS,4,Peduncle,enclosed,0.00159
27.0,1.0,MS,5,Chaff,exposed,0.00075
28.0,1.0,MS,1,Internode,exposed,0.000371
28.0,1.0,MS,1,Internode,enclosed,0.001129
28.0,1.0,MS,1,Lamina,exposed,0.00346
28.0,1.0,MS,1,Sheath,exposed,0.0006
28.0,1.0,MS,2,Internode,enclosed,0.0004
28.0,1.0,MS,2,Lamina,exposed,0.0034
28.0,1.0,MS,2,Sheath,exposed,0.0005
28.0,1.0,MS,3,Internode,enclosed,0.00025
28.0,1.0,MS,3,Lamina,exposed,0.00228
28.0,1.0,MS,3,Sheath,exposed,0.0003232
28.0,1.0,MS,4,Peduncle,exposed,0.000810959
28.0,1.0,MS,4,Peduncle,enclosed,0.00159
28.0,1.0,MS,5,Chaff,exposed,0.00075
29.0,1.0,MS,1,Internode,exposed,0.000371
29.0,1.0,MS,1,Internode,enclosed,0.001129
29.0,1.0,MS,1,Lamina,exposed,0.00346
29.0,1.0,MS,1,Sheath,exposed,0.0006
29.0,1.0,MS,2,Internode,enclosed,0.0004
29.0,1.0,MS,2,Lamina,exposed,0.0034
29.0,1.0,MS,2,Sheath,exposed,0.0005
29.0,1.0,MS,3,Internode,enclosed,0.00025
29.0,1.0,MS,3,Lamina,exposed,0.00228
29.0,1.0,MS,3,Sheath,exposed,0.0003232
29.0,1.0,MS,4,Peduncle,exposed,0.000810959
29.0,1.0,MS,4,Peduncle,enclosed,0.00159
29.0,1.0,MS,5,Chaff,exposed,0.00075
30.0,1.0,MS,1,Internode,exposed,0.000371
30.0,1.0,MS,1,Internode,enclosed,0.001129
30.0,1.0,MS,1,Lamina,exposed,0.00346
30.0,1.0,MS,1,Sheath,exposed,0.0006
30.0,1.0,MS,2,Internode,enclosed,0.0004
30.0,1.0,MS,2,Lamina,exposed,0.0034
30.0,1.0,MS,2,Sheath,exposed,0.0005
30.0,1.0,MS,3,Internode,enclosed,0.00025
30.0,1.0,MS,3,Lamina,exposed,0.00228
30.0,1.0,MS,3,Sheath,exposed,0.0003232
30.0,1.0,MS,4,Peduncle,exposed,0.000810959
30.0,1.0,MS,4,Peduncle,enclosed,0.00159
30.0,1.0,MS,5,Chaff,exposed,0.00075
31.0,1.0,MS,1,Internode,exposed,0.000371
31.0,1.0,MS,1,Internode,enclosed,0.001129
31.0,1.0,MS,1,Lamina,exposed,0.00346
31.0,1.0,MS,1,Sheath,exposed,0.0006
31.0,1.0,MS,2,Internode,enclosed,0.0004
31.0,1.0,MS,2,Lamina,exposed,0.0034
31.0,1.0,MS,2,Sheath,exposed,0.0005
31.0,1.0,MS,3,Internode,enclosed,0.00025
31.0,1.0,MS,3,Lamina,exposed,0.00228
31.0,1.0,MS,3,Sheath,exposed,0.0003232
31.0,1.0,MS,4,Peduncle,exposed,0.000810959
31.0,1.0,MS,4,Peduncle,enclosed,0.00159
31.0,1.0,MS,5,Chaff,exposed,0.00075
32.0,1.0,MS,1,Internode,exposed,0.000371
32.0,1.0,MS,1,Internode,enclosed,0.001129
32.0,1.0,MS,1,Lamina,exposed,0.00346
32.0,1.0,MS,1,Sheath,exposed,0.0006
32.0,1.0,MS,2,Internode,enclosed,0.0004
32.0,1.0,MS,2,Lamina,exposed,0.0034
32.0,1.0,MS,2,Sheath,exposed,0.0005
32.0,1.0,MS,3,Internode,enclosed,0.00025
32.0,1.0,MS,3,Lamina,exposed,0.00228
32.0,1.0,MS,3,Sheath,exposed,0.0003232
32.0,1.0,MS,4,Peduncle,exposed,0.000810959
32.0,1.0,MS,4,Peduncle,enclosed,0.00159
32.0,1.0,MS,5,Chaff,exposed,0.00075
33.0,1.0,MS,1,Internode,exposed,0.000371
33.0,1.0,MS,1,Internode,enclosed,0.001129
33.0,1.0,MS,1,Lamina,exposed,0.00346
33.0,1.0,MS,1,Sheath,exposed,0.0006
33.0,1.0,MS,2,Internode,enclosed,0.0004
33.0,1.0,MS,2,Lamina,exposed,0.0034
33.0,1.0,MS,2,Sheath,exposed,0.0005
33.0,1.0,MS,3,Internode,enclosed,0.00025
33.0,1.0,MS,3,Lamina,exposed,0.00228
33.0,1.0,MS,3,Sheath,exposed,0.0003232
33.0,1.0,MS,4,Peduncle,exposed,0.000810959
33.0,1.0,MS,4,Peduncle,enclosed,0.00159
33.0,1.0,MS,5,Chaff,exposed,0.00075
34.0,1.0,MS,1,Internode,exposed,0.000371
34.0,1.0,MS,1,Internode,enclosed,0.001129
34.0,1.0,MS,1,Lamina,exposed,0.00346
34.0,1.0,MS,1,Sheath,exposed,0.0006
34.0,1.0,MS,2,Internode,enclosed,0.0004
34.0,1.0,MS,2,Lamina,exposed,0.0034
34.0,1.0,MS,2,Sheath,exposed,0.0005
34.0,1.0,MS,3,Internode,enclosed,0.00025
34.0,1.0,MS,3,Lamina,exposed,0.00228
34.0,1.0,MS,3,Sheath,exposed,0.0003232
34.0,1.0,MS,4,Peduncle,exposed,0.000810959
34.0,1.0,MS,4,Peduncle,enclosed,0.00159
34.0,1.0,MS,5,Chaff,exposed,0.00075
35.0,1.0,MS,1,Internode,exposed,0.000371
35.0,1.0,MS,1,Internode,enclosed,0.001129
35.0,1.0,MS,1,Lamina,exposed,0.00346
35.0,1.0,MS,1,Sheath,exposed,0.0006
35.0,1.0,MS,2,Internode,enclosed,0.0004
35.0,1.0,MS,2,Lamina,exposed,0.0034
35.0,1.0,MS,2,Sheath,exposed,0.0005
35.0,1.0,MS,3,Internode,enclosed,0.00025
35.0,1.0,MS,3,Lamina,exposed,0.00228
35.0,1.0,MS,3,Sheath,exposed,0.0003232
35.0,1.0,MS,4,Peduncle,exposed,0.000810959
35.0,1.0,MS,4,Peduncle,enclosed,0.00159
35.0,1.0,MS,5,Chaff,exposed,0.00075
36.0,1.0,MS,1,Internode,exposed,0.000371
36.0,1.0,MS,1,Internode,enclosed,0.001129
36.0,1.0,MS,1,Lamina,exposed,0.00346
36.0,1.0,MS,1,Sheath,exposed,0.0006
36.0,1.0,MS,2,Internode,enclosed,0.0004
36.0,1.0,MS,2,Lamina,exposed,0.0034
36.0,1.0,MS,2,Sheath,exposed,0.0005
36.0,1.0,MS,3,Internode,enclosed,0.00025
36.0,1.0,MS,3,Lamina,exposed,0.00228
36.0,1.0,MS,3,Sheath,exposed,0.0003232
36.0,1.0,MS,4,Peduncle,exposed,0.000810959
36.0,1.0,MS,4,Peduncle,enclosed,0.00159
36.0,1.0,MS,5,Chaff,exposed,0.00075
37.0,1.0,MS,1,Internode,exposed,0.000371
37.0,1.0,MS,1,Internode,enclosed,0.001129
37.0,1.0,MS,1,Lamina,exposed,0.00346
37.0,1.0,MS,1,Sheath,exposed,0.0006
37.0,1.0,MS,2,Internode,enclosed,0.0004
37.0,1.0,MS,2,Lamina,exposed,0.0034
37.0,1.0,MS,2,Sheath,exposed,0.0005
37.0,1.0,MS,3,Internode,enclosed,0.00025
37.0,1.0,MS,3,Lamina,exposed,0.00228
37.0,1.0,MS,3,Sheath,exposed,0.0003232
37.0,1.0,MS,4,Peduncle,exposed,0.000810959
37.0,1.0,MS,4,Peduncle,enclosed,0.00159
37.0,1.0,MS,5,Chaff,exposed,0.00075
38.0,1.0,MS,1,Internode,exposed,0.000371
38.0,1.0,MS,1,Internode,enclosed,0.001129
38.0,1.0,MS,1,Lamina,exposed,0.00346
38.0,1.0,MS,1,Sheath,exposed,0.0006
38.0,1.0,MS,2,Internode,enclosed,0.0004
38.0,1.0,MS,2,Lamina,exposed,0.0034
38.0,1.0,MS,2,Sheath,exposed,0.0005
38.0,1.0,MS,3,Internode,enclosed,0.00025
38.0,1.0,MS,3,Lamina,exposed,0.00228
38.0,1.0,MS,3,Sheath,exposed,0.0003232
38.0,1.0,MS,4,Peduncle,exposed,0.000810959
38.0,1.0,MS,4,Peduncle,enclosed,0.00159
38.0,1.0,MS,5,Chaff,exposed,0.00075
39.0,1.0,MS,1,Internode,exposed,0.000371
39.0,1.0,MS,1,Internode,enclosed,0.001129
39.0,1.0,MS,1,Lamina,exposed,0.00346
39.0,1.0,MS,1,Sheath,exposed,0.0006
