t,plant,axis,organ,sucrose,amino_acids,nitrates,structure,starch,proteins,Conc_C_Sucrose,Unloading_Sucrose,Export_Amino_Acids,Conc_Nitrates_Soil,Potential_Uptake_Nitrates,S_Proteins,Conc_Nitrates,S_Amino_Acids,Conc_Amino_Acids,Dry_Mass,Unloading_Amino_Acids,S_grain_starch,Conc_Sucrose,Uptake_Nitrates,S_grain_structure,Proteins_N_Mass,RGR_Structure
14.000000,1,MS,Grains,NA,NA,NA,10911.800520,0.000000,184.009414,NA,2.798098,NA,NA,NA,2.787118,NA,NA,NA,0.130942,NA,0.000000,NA,NA,33.577171,0.002576,0.000001
14.000000,1,MS,Phloem,510.287067,42.357056,NA,NA,NA,NA,245.330321,NA,NA,NA,NA,NA,NA,NA,17.405102,NA,NA,NA,20.444193,NA,NA,NA,NA
14.000000,1,MS,Roots,7.071399,3.718899,204.965369,NA,NA,NA,NA,51.150397,7.378576,49270838.000000,7.378576,NA,406.677320,14.720636,6.306639,NA,0.609072,NA,1.169213,11.038374,NA,NA,NA
15.000000,1,MS,Grains,NA,NA,NA,10938.284081,0.000000,186.922234,NA,3.071376,NA,NA,NA,3.045623,NA,NA,NA,0.131259,NA,0.000000,NA,NA,36.856514,0.002617,0.000001
15.000000,1,MS,Phloem,605.838962,50.063248,NA,NA,NA,NA,291.268732,NA,NA,NA,NA,NA,NA,NA,20.571683,NA,NA,NA,24.272394,NA,NA,NA,NA
15.000000,1,MS,Roots,9.624694,3.992483,207.236358,NA,NA,NA,NA,53.598325,7.921388,49218755.000000,7.921388,NA,411.183250,15.443511,6.770593,NA,0.698386,NA,1.591385,10.936138,NA,NA,NA
16.000000,1,MS,Grains,NA,NA,NA,10966.988086,0.000000,190.097169,NA,3.307853,NA,NA,NA,3.296144,NA,NA,NA,0.131604,NA,0.000000,NA,NA,39.694232,0.002661,0.000001
16.000000,1,MS,Phloem,701.280406,58.233181,NA,NA,NA,NA,337.154041,NA,NA,NA,NA,NA,NA,NA,23.928822,NA,NA,NA,28.096170,NA,NA,NA,NA
16.000000,1,MS,Roots,12.320420,4.168978,206.041291,NA,NA,NA,NA,55.529833,8.271463,49166672.000000,8.271463,NA,408.812085,15.915654,7.069900,NA,0.787428,NA,2.037106,7.474891,NA,NA,NA
17.000000,1,MS,Grains,NA,NA,NA,10997.791367,0.000000,193.502472,NA,3.533902,NA,NA,NA,3.510072,NA,NA,NA,0.131973,NA,0.000000,NA,NA,42.406827,0.002709,0.000001
17.000000,1,MS,Phloem,806.319910,66.740224,NA,NA,NA,NA,387.653803,NA,NA,NA,NA,NA,NA,NA,27.424484,NA,NA,NA,32.304484,NA,NA,NA,NA
17.000000,1,MS,Roots,15.301825,4.296676,204.670553,NA,NA,NA,NA,57.235427,8.524821,49114589.000000,8.524821,NA,406.092367,16.261203,7.286453,NA,0.874516,NA,2.530064,7.507977,NA,NA,NA
18.000000,1,MS,Grains,NA,NA,NA,11030.293082,0.000000,197.145684,NA,3.665880,NA,NA,NA,3.801768,NA,NA,NA,0.132364,NA,0.000000,NA,NA,43.990566,0.002760,0.000001
18.000000,1,MS,Phloem,872.633382,75.415016,NA,NA,NA,NA,419.535280,NA,NA,NA,NA,NA,NA,NA,30.989076,NA,NA,NA,34.961273,NA,NA,NA,NA
18.000000,1,MS,Roots,18.501899,4.395338,199.223145,NA,NA,NA,NA,58.141461,8.720080,49062506.000000,8.720080,NA,395.284018,16.514806,7.453769,NA,0.957938,NA,3.059177,3.159760,NA,NA,NA
19.000000,1,MS,Grains,NA,NA,NA,11063.522367,0.000000,201.140626,NA,3.709463,NA,NA,NA,4.200481,NA,NA,NA,0.132762,NA,0.000000,NA,NA,44.513553,0.002816,0.000001
19.000000,1,MS,Phloem,891.387006,84.114932,NA,NA,NA,NA,428.551445,NA,NA,NA,NA,NA,NA,NA,34.563993,NA,NA,NA,35.712620,NA,NA,NA,NA
19.000000,1,MS,Roots,21.623347,4.470883,193.724456,NA,NA,NA,NA,58.377863,8.869956,49010423.000000,8.869956,NA,384.373921,16.693328,7.581880,NA,1.036625,NA,3.575289,3.223619,NA,NA,NA
20.000000,1,MS,Grains,NA,NA,NA,11096.978207,0.000000,205.559447,NA,3.723336,NA,NA,NA,4.639022,NA,NA,NA,0.133164,NA,0.000000,NA,NA,44.680036,0.002878,0.000001
20.000000,1,MS,Phloem,892.934011,92.711219,NA,NA,NA,NA,429.295198,NA,NA,NA,NA,NA,NA,NA,38.096326,NA,NA,NA,35.774600,NA,NA,NA,NA
20.000000,1,MS,Roots,24.557820,4.529433,186.662635,NA,NA,NA,NA,58.397005,8.985148,48958340.000000,8.985148,NA,370.362371,16.819791,7.681171,NA,1.109903,NA,4.060486,1.559153,NA,NA,NA
21.000000,1,MS,Grains,NA,NA,NA,11130.517483,0.000000,210.422002,NA,3.728803,NA,NA,NA,5.087552,NA,NA,NA,0.133566,NA,0.000000,NA,NA,44.745631,0.002946,0.000001
21.000000,1,MS,Phloem,889.577762,101.144464,NA,NA,NA,NA,427.681616,NA,NA,NA,NA,NA,NA,NA,41.561663,NA,NA,NA,35.640135,NA,NA,NA,NA
21.000000,1,MS,Roots,27.313016,4.575520,179.582418,NA,NA,NA,NA,58.355409,9.076572,48906257.000000,9.076572,NA,356.314321,16.913417,7.759328,NA,1.177831,NA,4.516041,1.600290,NA,NA,NA
22.000000,1,MS,Grains,NA,NA,NA,11164.022629,0.000000,215.748764,NA,3.710533,NA,NA,NA,5.577599,NA,NA,NA,0.133968,NA,0.000000,NA,NA,44.526390,0.003020,0.000001
22.000000,1,MS,Phloem,872.750421,109.325102,NA,NA,NA,NA,419.591548,NA,NA,NA,NA,NA,NA,NA,44.923201,NA,NA,NA,34.965962,NA,NA,NA,NA
22.000000,1,MS,Roots,29.884335,4.613031,172.736206,NA,NA,NA,NA,58.142962,9.151244,48854174.000000,9.151244,NA,342.730568,16.984478,7.822939,NA,1.240275,NA,4.941193,1.909296,NA,NA,NA
23.000000,1,MS,Grains,NA,NA,NA,11197.221834,0.000000,221.597098,NA,3.663403,NA,NA,NA,6.127881,NA,NA,NA,0.134367,NA,0.000000,NA,NA,43.960838,0.003102,0.000001
23.000000,1,MS,Phloem,840.732763,117.193186,NA,NA,NA,NA,404.198444,NA,NA,NA,NA,NA,NA,NA,48.156306,NA,NA,NA,33.683204,NA,NA,NA,NA
23.000000,1,MS,Roots,32.193613,4.643968,165.902222,NA,NA,NA,NA,57.719908,9.212617,48802091.000000,9.212617,NA,329.171075,17.037264,7.875403,NA,1.297369,NA,5.323018,1.957973,NA,NA,NA
24.000000,1,MS,Grains,NA,NA,NA,11229.909803,0.000000,228.005783,NA,3.598079,NA,NA,NA,6.683220,NA,NA,NA,0.134759,NA,0.000000,NA,NA,43.176949,0.003192,0.000001
24.000000,1,MS,Phloem,801.008142,123.985457,NA,NA,NA,NA,385.100068,NA,NA,NA,NA,NA,NA,NA,50.947344,NA,NA,NA,32.091672,NA,NA,NA,NA
24.000000,1,MS,Roots,34.182791,13.906779,157.305753,NA,NA,NA,NA,57.157702,0.000000,48750008.000000,0.000000,NA,312.114588,17.073428,23.583603,NA,1.344480,NA,5.651916,0.000000,NA,NA,NA
25.000000,1,MS,Grains,NA,NA,NA,11261.947962,0.000000,234.953983,NA,3.519583,NA,NA,NA,7.209633,NA,NA,NA,0.135143,NA,0.000000,NA,NA,42.234996,0.003289,0.000001
25.000000,1,MS,Phloem,757.388371,129.288336,NA,NA,NA,NA,364.129025,NA,NA,NA,NA,NA,NA,NA,53.126371,NA,NA,NA,30.344085,NA,NA,NA,NA
25.000000,1,MS,Roots,35.813519,23.205165,148.694317,NA,NA,NA,NA,56.487072,0.000000,48697925.000000,0.000000,NA,295.028407,17.096996,39.352132,NA,1.379941,NA,5.921547,0.000000,NA,NA,NA
26.000000,1,MS,Grains,NA,NA,NA,11293.230760,0.000000,242.474396,NA,3.430539,NA,NA,NA,7.867141,NA,NA,NA,0.135519,NA,0.000000,NA,NA,41.166467,0.003395,0.000001
26.000000,1,MS,Phloem,711.985106,136.064313,NA,NA,NA,NA,342.300532,NA,NA,NA,NA,NA,NA,NA,55.910714,NA,NA,NA,28.525044,NA,NA,NA,NA
26.000000,1,MS,Roots,37.051697,7.248734,141.975263,NA,NA,NA,NA,55.721476,14.379902,48645842.000000,14.379902,NA,281.696951,17.112020,12.292656,NA,1.423663,NA,6.126273,2.139716,NA,NA,NA
27.000000,1,MS,Grains,NA,NA,NA,11323.670503,0.000000,250.723855,NA,3.332423,NA,NA,NA,8.640779,NA,NA,NA,0.135884,NA,0.000000,NA,NA,39.989078,0.003510,0.000001
27.000000,1,MS,Phloem,666.042961,143.917550,NA,NA,NA,NA,320.212962,NA,NA,NA,NA,NA,NA,NA,59.137718,NA,NA,NA,26.684413,NA,NA,NA,NA
27.000000,1,MS,Roots,37.865084,5.066462,135.298793,NA,NA,NA,NA,54.865831,10.050752,48593759.000000,10.050752,NA,268.449987,17.117543,8.591883,NA,1.472229,NA,6.260761,2.193267,NA,NA,NA
28.000000,1,MS,Grains,NA,NA,NA,11353.189867,0.000000,259.749428,NA,3.226128,NA,NA,NA,9.398155,NA,NA,NA,0.136238,NA,0.000000,NA,NA,38.713531,0.003636,0.000001
28.000000,1,MS,Phloem,620.334474,150.593334,NA,NA,NA,NA,298.237728,NA,NA,NA,NA,NA,NA,NA,61.880890,NA,NA,NA,24.853144,NA,NA,NA,NA
28.000000,1,MS,Roots,38.225481,14.444991,126.672823,NA,NA,NA,NA,53.920347,0.000000,48541676.000000,0.000000,NA,251.334966,17.110865,24.496322,NA,1.511841,NA,6.320351,0.000000,NA,NA,NA
29.000000,1,MS,Grains,NA,NA,NA,11381.718057,0.000000,269.500815,NA,3.112247,NA,NA,NA,10.097021,NA,NA,NA,0.136581,NA,0.000000,NA,NA,37.346962,0.003773,0.000001
29.000000,1,MS,Phloem,575.363172,155.553592,NA,NA,NA,NA,276.616910,NA,NA,NA,NA,NA,NA,NA,63.919129,NA,NA,NA,23.051409,NA,NA,NA,NA
29.000000,1,MS,Roots,38.104666,23.834601,118.052736,NA,NA,NA,NA,52.882430,0.000000,48489593.000000,0.000000,NA,234.231618,17.094078,40.419551,NA,1.540331,NA,6.300375,0.000000,NA,NA,NA
30.000000,1,MS,Grains,NA,NA,NA,11409.188949,0.000000,279.931390,NA,2.991248,NA,NA,NA,10.759375,NA,NA,NA,0.136910,NA,0.000000,NA,NA,35.894978,0.003919,0.000001
30.000000,1,MS,Phloem,531.476196,159.307841,NA,NA,NA,NA,255.517402,NA,NA,NA,NA,NA,NA,NA,65.461802,NA,NA,NA,21.293117,NA,NA,NA,NA
30.000000,1,MS,Roots,37.471770,33.225357,109.443869,NA,NA,NA,NA,51.747827,0.000000,48437510.000000,0.000000,NA,217.150534,17.066090,56.344724,NA,1.561383,NA,6.195729,0.000000,NA,NA,NA
31.000000,1,MS,Grains,NA,NA,NA,11435.540725,0.000000,291.011943,NA,2.863657,NA,NA,NA,11.398681,NA,NA,NA,0.137226,NA,0.000000,NA,NA,34.363884,0.004074,0.000001
31.000000,1,MS,Phloem,488.951299,162.187713,NA,NA,NA,NA,235.072740,NA,NA,NA,NA,NA,NA,NA,66.645181,NA,NA,NA,19.589395,NA,NA,NA,NA
31.000000,1,MS,Roots,36.296061,42.608017,100.852326,NA,NA,NA,NA,50.512128,0.000000,48385427.000000,0.000000,NA,200.103821,17.024912,72.256168,NA,1.577242,NA,6.001333,0.000000,NA,NA,NA
32.000000,1,MS,Grains,NA,NA,NA,11460.740404,0.000000,302.718223,NA,2.738237,NA,NA,NA,12.002960,NA,NA,NA,0.137529,NA,0.000000,NA,NA,32.858847,0.004238,0.000001
32.000000,1,MS,Phloem,450.312793,164.494103,NA,NA,NA,NA,216.496535,NA,NA,NA,NA,NA,NA,NA,67.592909,NA,NA,NA,18.041378,NA,NA,NA,NA
32.000000,1,MS,Roots,34.561484,51.973080,92.285479,NA,NA,NA,NA,49.250936,0.000000,48333344.000000,0.000000,NA,183.106110,16.967545,88.137770,NA,1.589767,NA,5.714531,0.000000,NA,NA,NA
33.000000,1,MS,Grains,NA,NA,NA,11484.867787,0.000000,314.994763,NA,2.625653,NA,NA,NA,12.538637,NA,NA,NA,0.137818,NA,0.000000,NA,NA,31.507832,0.004410,0.000001
33.000000,1,MS,Phloem,417.884081,166.298233,NA,NA,NA,NA,200.905808,NA,NA,NA,NA,NA,NA,NA,68.334251,NA,NA,NA,16.742151,NA,NA,NA,NA
33.000000,1,MS,Roots,32.316561,61.310017,83.752331,NA,NA,NA,NA,48.072247,0.000000,48281261.000000,0.000000,NA,166.175259,16.890544,103.971674,NA,1.599456,NA,5.343347,0.000000,NA,NA,NA
34.000000,1,MS,Grains,NA,NA,NA,11508.084511,0.000000,327.758355,NA,2.540574,NA,NA,NA,12.962661,NA,NA,NA,0.138097,NA,0.000000,NA,NA,30.486888,0.004589,0.000001
34.000000,1,MS,Phloem,394.452516,167.716509,NA,NA,NA,NA,189.640633,NA,NA,NA,NA,NA,NA,NA,68.917040,NA,NA,NA,15.803386,NA,NA,NA,NA
34.000000,1,MS,Roots,29.666986,70.606636,75.263817,NA,NA,NA,NA,47.141609,0.000000,48229178.000000,0.000000,NA,149.332970,16.789808,119.737206,NA,1.607008,NA,4.905256,0.000000,NA,NA,NA
35.000000,1,MS,Grains,NA,NA,NA,11530.720152,0.000000,340.869992,NA,2.495915,NA,NA,NA,13.237244,NA,NA,NA,0.138369,NA,0.000000,NA,NA,29.950982,0.004772,0.000001
35.000000,1,MS,Phloem,382.047017,168.850873,NA,NA,NA,NA,183.676451,NA,NA,NA,NA,NA,NA,NA,69.383166,NA,NA,NA,15.306371,NA,NA,NA,NA
35.000000,1,MS,Roots,26.831473,79.849330,66.832622,NA,NA,NA,NA,46.618972,0.000000,48177095.000000,0.000000,NA,132.604409,16.662805,135.411290,NA,1.613007,NA,4.436421,0.000000,NA,NA,NA
36.000000,1,MS,Grains,NA,NA,NA,11553.158450,0.000000,354.174678,NA,2.500058,NA,NA,NA,13.338478,NA,NA,NA,0.138638,NA,0.000000,NA,NA,30.000693,0.004958,0.000001
36.000000,1,MS,Phloem,381.871087,169.782044,NA,NA,NA,NA,183.591869,NA,NA,NA,NA,NA,NA,NA,69.765797,NA,NA,NA,15.299322,NA,NA,NA,NA
36.000000,1,MS,Roots,24.075036,89.023983,58.472197,NA,NA,NA,NA,46.611402,0.000000,48125012.000000,0.000000,NA,116.016263,16.509428,150.969988,NA,1.617905,NA,3.980661,0.000000,NA,NA,NA
37.000000,1,MS,Grains,NA,NA,NA,11575.867254,0.000000,367.490407,NA,2.552803,NA,NA,NA,13.270365,NA,NA,NA,0.138910,NA,0.000000,NA,NA,30.633640,0.005145,0.000001
37.000000,1,MS,Phloem,393.764055,170.576949,NA,NA,NA,NA,189.309642,NA,NA,NA,NA,NA,NA,NA,70.092435,NA,NA,NA,15.775803,NA,NA,NA,NA
37.000000,1,MS,Roots,21.711907,98.118178,50.194498,NA,NA,NA,NA,47.113170,0.000000,48072929.000000,0.000000,NA,99.592258,16.336017,166.392244,NA,1.622067,NA,3.589932,0.000000,NA,NA,NA
38.000000,1,MS,Grains,NA,NA,NA,11599.221566,0.000000,381.039824,NA,2.642900,NA,NA,NA,14.046501,NA,NA,NA,0.139191,NA,0.000000,NA,NA,31.714800,0.005335,0.000001
38.000000,1,MS,Phloem,415.548607,184.046685,NA,NA,NA,NA,199.782984,NA,NA,NA,NA,NA,NA,NA,75.627336,NA,NA,NA,16.648582,NA,NA,NA,NA
38.000000,1,MS,Roots,19.937380,17.418484,47.105111,NA,NA,NA,NA,47.982626,34.557281,48020846.000000,34.557281,NA,93.462523,16.210811,29.538876,NA,1.690023,NA,3.296524,5.711495,NA,NA,NA
39.000000,1,MS,Grains,NA,NA,NA,11623.512647,0.000000,395.634633,NA,2.757660,NA,NA,NA,15.078894,NA,NA,NA,0.139482,NA,0.000000,NA,NA,33.091915,0.005539,0.000001
39.000000,1,MS,Phloem,444.905399,202.728716,NA,NA,NA,NA,213.896827,NA,NA,NA,NA,NA,NA,NA,83.304042,NA,NA,NA,17.824736,NA,NA,NA,NA
39.000000,1,MS,Roots,18.843563,6.315600,44.129848,NA,NA,NA,NA,49.062527,12.529791,47968763.000000,12.529791,NA,87.559222,16.110968,10.710216,NA,1.776899,NA,3.115669,5.773659,NA,NA,NA
40.000000,1,MS,Grains,NA,NA,NA,11649.014564,0.000000,410.999522,NA,2.922129,NA,NA,NA,15.538171,NA,NA,NA,0.139788,NA,0.000000,NA,NA,35.065547,0.005754,0.000001
40.000000,1,MS,Phloem,490.452388,217.328220,NA,NA,NA,NA,235.794417,NA,NA,NA,NA,NA,NA,NA,89.303180,NA,NA,NA,19.649535,NA,NA,NA,NA
40.000000,1,MS,Roots,18.468890,4.794110,44.975080,NA,NA,NA,NA,50.558309,9.511616,47916680.000000,9.511616,NA,89.236270,16.096748,8.130019,NA,1.839477,NA,3.053719,9.935332,NA,NA,NA
41.000000,1,MS,Grains,NA,NA,NA,11676.253261,0.000000,426.538449,NA,3.134759,NA,NA,NA,15.479103,NA,NA,NA,0.140115,NA,0.000000,NA,NA,37.617114,0.005972,0.000001
41.000000,1,MS,Phloem,555.596103,228.622778,NA,NA,NA,NA,267.113511,NA,NA,NA,NA,NA,NA,NA,93.944271,NA,NA,NA,22.259459,NA,NA,NA,NA
41.000000,1,MS,Roots,18.936356,4.600525,45.779259,NA,NA,NA,NA,52.387537,9.127540,47864597.000000,9.127540,NA,90.831864,16.136093,7.801732,NA,1.885018,NA,3.131011,9.897494,NA,NA,NA
42.000000,1,MS,Grains,NA,NA,NA,11705.390463,0.000000,441.911646,NA,3.333327,NA,NA,NA,15.270315,NA,NA,NA,0.140465,NA,0.000000,NA,NA,39.999918,0.006187,0.000001
42.000000,1,MS,Phloem,622.987116,237.830716,NA,NA,NA,NA,299.513036,NA,NA,NA,NA,NA,NA,NA,97.727941,NA,NA,NA,24.959420,NA,NA,NA,NA
42.000000,1,MS,Roots,20.257142,4.585918,39.239569,NA,NA,NA,NA,53.978060,9.096254,47812514.000000,9.096254,NA,77.856287,16.128325,7.776960,NA,1.920439,NA,3.349395,1.788981,NA,NA,NA
43.000000,1,MS,Grains,NA,NA,NA,11736.154881,0.000000,457.084574,NA,3.498796,NA,NA,NA,15.078270,NA,NA,NA,0.140834,NA,0.000000,NA,NA,41.985548,0.006399,0.000001
43.000000,1,MS,Phloem,684.229614,245.727383,NA,NA,NA,NA,328.956545,NA,NA,NA,NA,NA,NA,NA,100.972790,NA,NA,NA,27.413045,NA,NA,NA,NA
