t,plant,axis,Total_transpiration
323.000000,1,MS,0.014202
324.000000,1,MS,0.015432
325.000000,1,MS,0.015432
326.000000,1,MS,0.018037
327.000000,1,MS,0.018037
328.000000,1,MS,0.016410
329.000000,1,MS,0.016410
330.000000,1,MS,0.006793
331.000000,1,MS,0.006793
332.000000,1,MS,0.003603
333.000000,1,MS,0.003603
334.000000,1,MS,0.003888
335.000000,1,MS,0.003888
336.000000,1,MS,0.000892
337.000000,1,MS,0.000892
338.000000,1,MS,0.000603
339.000000,1,MS,0.000603
340.000000,1,MS,0.000767
341.000000,1,MS,0.000767
342.000000,1,MS,0.006824
343.000000,1,MS,0.006824
344.000000,1,MS,0.021818
345.000000,1,MS,0.021818
346.000000,1,MS,0.030813
347.000000,1,MS,0.030813
348.000000,1,MS,0.035372
349.000000,1,MS,0.035372
350.000000,1,MS,0.034855
351.000000,1,MS,0.034855
352.000000,1,MS,0.015374
353.000000,1,MS,0.015374
354.000000,1,MS,0.004631
355.000000,1,MS,0.004631
356.000000,1,MS,0.002416
357.000000,1,MS,0.002416
358.000000,1,MS,0.001883
359.000000,1,MS,0.001883
360.000000,1,MS,0.000651
361.000000,1,MS,0.000651
362.000000,1,MS,0.000851
363.000000,1,MS,0.000851
364.000000,1,MS,0.000911
365.000000,1,MS,0.000911
366.000000,1,MS,0.005934
367.000000,1,MS,0.005934
368.000000,1,MS,0.011718
369.000000,1,MS,0.011718
370.000000,1,MS,0.016452
371.000000,1,MS,0.016452
372.000000,1,MS,0.023643
373.000000,1,MS,0.023643
374.000000,1,MS,0.024725
375.000000,1,MS,0.024725
376.000000,1,MS,0.019159
377.000000,1,MS,0.019159
378.000000,1,MS,0.011236
379.000000,1,MS,0.011236
380.000000,1,MS,0.002280
381.000000,1,MS,0.002280
382.000000,1,MS,0.001917
383.000000,1,MS,0.001917
384.000000,1,MS,0.009466
385.000000,1,MS,0.009466
386.000000,1,MS,0.009560
387.000000,1,MS,0.009560
388.000000,1,MS,0.010156
389.000000,1,MS,0.010156
390.000000,1,MS,0.020024
391.000000,1,MS,0.020024
392.000000,1,MS,0.034277
393.000000,1,MS,0.034277
394.000000,1,MS,0.042243
395.000000,1,MS,0.042243
396.000000,1,MS,0.046974
397.000000,1,MS,0.046974
