t,An
371,0.1875
372,0.1875
373,0.1875
374,0.1875
375,0.1575
376,0.1275
377,0.0975
378,0.0675
379,0.0375
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0.0375
391,0.0675
392,0.0975
393,0.1275
394,0.1575
395,0.1875
396,0.1875
397,0.1875
398,0.1875
399,0.1575
400,0.1275
401,0.0975
402,0.0675
403,0.0375
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0.0375
415,0.0675
416,0.0975
417,0.1275
418,0.1575
419,0.1875
420,0.1875
421,0.1875
422,0.1875
423,0.1575
424,0.1275
425,0.0975
426,0.0675
427,0.0375
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0.0375
439,0.0675
440,0.0975
441,0.1275
442,0.1575
443,0.1875
444,0.1875
445,0.1875
446,0.1875
447,0.1575
448,0.1275
449,0.0975
450,0.0675
451,0.0375
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0.0375
463,0.0675
464,0.0975
465,0.1275
466,0.1575
467,0.1875
468,0.1875
469,0.1875
470,0.1875
471,0.1575
472,0.1275
473,0.0975
474,0.0675
475,0.0375
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0.0375
487,0.0675
488,0.0975
489,0.1275
490,0.1575
491,0.1875
492,0.1875
493,0.1875
494,0.1875
495,0.1575
496,0.1275
497,0.0975
498,0.0675
499,0.0375
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0.0375
511,0.0675
512,0.0975
513,0.1275
514,0.1575
515,0.1875
516,0.1875
517,0.1875
518,0.1875
519,0.1575
520,0.1275
521,0.0975
522,0.0675
523,0.0375
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,0.0375
535,0.0675
536,0.0975
537,0.1275
538,0.1575
539,0.1875
540,0.1875
541,0.1875
542,0.1875
543,0.1575
544,0.1275
545,0.0975
546,0.0675
547,0.0375
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,0
558,0.0375
559,0.0675
560,0.0975
561,0.1275
562,0.1575
563,0.1875
564,0.1875
565,0.1875
566,0.1875
567,0.1575
568,0.1275
569,0.0975
570,0.0675
571,0.0375
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0.0375
583,0.0675
584,0.0975
585,0.1275
586,0.1575
587,0.1875
588,0.1875
589,0.1875
590,0.1875
591,0.1575
592,0.1275
593,0.0975
594,0.0675
595,0.0375
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0.0375
607,0.0675
608,0.0975
609,0.1275
610,0.1575
611,0.1875
612,0.1875
613,0.1875
614,0.1875
615,0.1575
616,0.1275
617,0.0975
618,0.0675
619,0.0375
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0.0375
631,0.0675
632,0.0975
633,0.1275
634,0.1575
635,0.1875
636,0.1875
637,0.1875
638,0.1875
639,0.1575
640,0.1275
641,0.0975
642,0.0675
643,0.0375
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0.0375
655,0.0675
656,0.0975
657,0.1275
658,0.1575
659,0.1875
660,0.1875
661,0.1875
662,0.1875
663,0.1575
664,0.1275
665,0.0975
666,0.0675
667,0.0375
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0.0375
679,0.0675
680,0.0975
681,0.1275
682,0.1575
683,0.1875
684,0.1875
685,0.1875
686,0.1875
687,0.1575
688,0.1275
689,0.0975
690,0.0675
691,0.0375
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0.0375
703,0.0675
704,0.0975
705,0.1275
706,0.1575
707,0.1875
708,0.1875
709,0.1875
710,0.1875
711,0.1575
712,0.1275
713,0.0975
714,0.0675
715,0.0375
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0.0375
727,0.0675
728,0.0975
729,0.1275
730,0.1575
731,0.1875
732,0.1875
733,0.1875
734,0.1875
735,0.1575
736,0.1275
737,0.0975
738,0.0675
739,0.0375
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0.0375
751,0.0675
752,0.0975
753,0.1275
754,0.1575
755,0.1875
756,0.1875
757,0.1875
758,0.1875
759,0.1575
760,0.1275
761,0.0975
762,0.0675
763,0.0375
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0.0375
775,0.0675
776,0.0975
777,0.1275
778,0.1575
779,0.1875
780,0.1875
781,0.1875
782,0.1875
783,0.1575
784,0.1275
785,0.0975
786,0.0675
787,0.0375
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0.0375
799,0.0675
800,0.0975
801,0.1275
802,0.1575
803,0.1875
804,0.1875
805,0.1875
806,0.1875
807,0.1575
808,0.1275
809,0.0975
810,0.0675
811,0.0375
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,0.0375
823,0.0675
824,0.0975
825,0.1275
826,0.1575
827,0.1875
828,0.1875
829,0.1875
830,0.1875
831,0.1575
832,0.1275
833,0.0975
834,0.0675
835,0.0375
836,0
837,0
838,0
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,0.0375
847,0.0675
848,0.0975
849,0.1275
850,0.1575
851,0.1875
852,0.1875
853,0.1875
854,0.1875
855,0.1575
856,0.1275
857,0.0975
858,0.0675
859,0.0375
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0.0375
871,0.0675
872,0.0975
873,0.1275
874,0.1575
875,0.1875
876,0.1875
877,0.1875
878,0.1875
879,0.1575
880,0.1275
881,0.0975
882,0.0675
883,0.0375
884,0
885,0
886,0
887,0
888,0
889,0
890,0
891,0
892,0
893,0
894,0.0375
895,0.0675
896,0.0975
897,0.1275
898,0.1575
899,0.1875
900,0.1875
901,0.1875
902,0.1875
903,0.1575
904,0.1275
905,0.0975
906,0.0675
907,0.0375
908,0
909,0
910,0
911,0
912,0
913,0
914,0
915,0
916,0
917,0
918,0.0375
919,0.0675
920,0.0975
921,0.1275
922,0.1575
923,0.1875
924,0.1875
925,0.1875
926,0.1875
927,0.1575
928,0.1275
929,0.0975
930,0.0675
931,0.0375
932,0
933,0
934,0
935,0
936,0
937,0
938,0
939,0
940,0
941,0
942,0.0375
943,0.0675
944,0.0975
945,0.1275
946,0.1575
947,0.1875
948,0.1875
949,0.1875
950,0.1875
951,0.1575
952,0.1275
953,0.0975
954,0.0675
955,0.0375
956,0
957,0
958,0
959,0
960,0
961,0
