t,plant,axis,metamer,organ,element,Nstruct,green_area,mstruct
30,1,MS,3,blade,LeafElement1,0.00066,0.000229007,0.022
30,1,MS,3,sheath,StemElement,0.00042,4.06E-06,0.014
30,1,MS,4,blade,LeafElement1,4.55E-05,5.12E-05,0.001412173
31,1,MS,1,blade,LeafElement1,0.00054,0.000294284,0.018
31,1,MS,1,sheath,StemElement,0.0003,0.000174251,0.01
31,1,MS,2,blade,LeafElement1,0.0006,0.00028853,0.02
31,1,MS,2,sheath,StemElement,0.00036,1.26E-06,0.012
31,1,MS,3,blade,LeafElement1,0.00066,0.000229007,0.022
31,1,MS,3,sheath,StemElement,0.00042,4.06E-06,0.014
31,1,MS,4,blade,LeafElement1,4.82E-05,5.42E-05,0.001495766
32,1,MS,1,blade,LeafElement1,0.00054,0.000294284,0.018
32,1,MS,1,sheath,StemElement,0.0003,0.000174251,0.01
32,1,MS,2,blade,LeafElement1,0.0006,0.00028853,0.02
32,1,MS,2,sheath,StemElement,0.00036,1.26E-06,0.012
32,1,MS,3,blade,LeafElement1,0.00066,0.000229007,0.022
32,1,MS,3,sheath,StemElement,0.00042,4.06E-06,0.014
32,1,MS,4,blade,LeafElement1,5.09E-05,5.73E-05,0.001581606
33,1,MS,1,blade,LeafElement1,0.00054,0.000294284,0.018
33,1,MS,1,sheath,StemElement,0.0003,0.000174251,0.01
33,1,MS,2,blade,LeafElement1,0.0006,0.00028853,0.02
33,1,MS,2,sheath,StemElement,0.00036,1.26E-06,0.012
33,1,MS,3,blade,LeafElement1,0.00066,0.000229007,0.022
33,1,MS,3,sheath,StemElement,0.00042,4.06E-06,0.014
33,1,MS,4,blade,LeafElement1,5.38E-05,6.05E-05,0.001669716
34,1,MS,1,blade,LeafElement1,0.00054,0.000294284,0.018
34,1,MS,1,sheath,StemElement,0.0003,0.000174251,0.01
34,1,MS,2,blade,LeafElement1,0.0006,0.00028853,0.02
34,1,MS,2,sheath,StemElement,0.00036,1.26E-06,0.012
34,1,MS,3,blade,LeafElement1,0.00066,0.000229007,0.022
34,1,MS,3,sheath,StemElement,0.00042,4.06E-06,0.014
34,1,MS,4,blade,LeafElement1,5.67E-05,6.38E-05,0.001760116
35,1,MS,1,blade,LeafElement1,0.00054,0.000294284,0.018
35,1,MS,1,sheath,StemElement,0.0003,0.000174251,0.01
35,1,MS,2,blade,LeafElement1,0.0006,0.00028853,0.02
35,1,MS,2,sheath,StemElement,0.00036,1.26E-06,0.012
35,1,MS,3,blade,LeafElement1,0.00066,0.000229007,0.022
35,1,MS,3,sheath,StemElement,0.00042,4.06E-06,0.014
35,1,MS,4,blade,LeafElement1,5.96E-05,6.70E-05,0.001849416
36,1,MS,1,blade,LeafElement1,0.00054,0.000294284,0.018
36,1,MS,1,sheath,StemElement,0.0003,0.000174251,0.01
36,1,MS,2,blade,LeafElement1,0.0006,0.00028853,0.02
36,1,MS,2,sheath,StemElement,0.00036,1.26E-06,0.012
36,1,MS,3,blade,LeafElement1,0.00066,0.000229007,0.022
36,1,MS,3,sheath,StemElement,0.00042,4.06E-06,0.014
36,1,MS,4,blade,LeafElement1,6.26E-05,7.04E-05,0.001944031
37,1,MS,1,blade,LeafElement1,0.00054,0.000294284,0.018
37,1,MS,1,sheath,StemElement,0.0003,0.000174251,0.01
37,1,MS,2,blade,LeafElement1,0.0006,0.00028853,0.02
37,1,MS,2,sheath,StemElement,0.00036,1.26E-06,0.012
37,1,MS,3,blade,LeafElement1,0.00066,0.000229007,0.022
37,1,MS,3,sheath,StemElement,0.00042,4.06E-06,0.014
37,1,MS,4,blade,LeafElement1,6.57E-05,7.39E-05,0.002040799
38,1,MS,1,blade,LeafElement1,0.00054,0.000294284,0.018
38,1,MS,1,sheath,StemElement,0.0003,0.000174251,0.01
38,1,MS,2,blade,LeafElement1,0.0006,0.00028853,0.02
38,1,MS,2,sheath,StemElement,0.00036,1.26E-06,0.012
38,1,MS,3,blade,LeafElement1,0.00066,0.000229007,0.022
38,1,MS,3,sheath,StemElement,0.00042,4.06E-06,0.014
