t,plant,axis,volume,Tsoil,nitrates,Conc_Nitrates_Soil
138.000000,1,MS,1.000000,15.000000,102387.875206,102387.875206
139.000000,1,MS,1.000000,15.000000,101383.820148,101383.820148
140.000000,1,MS,1.000000,15.000000,100382.762751,100382.762751
141.000000,1,MS,1.000000,15.000000,99386.274601,99386.274601
142.000000,1,MS,1.000000,15.000000,98393.613630,98393.613630
143.000000,1,MS,1.000000,15.000000,97406.206253,97406.206253
144.000000,1,MS,1.000000,15.000000,96423.198431,96423.198431
145.000000,1,MS,1.000000,15.000000,95445.997665,95445.997665
146.000000,1,MS,1.000000,15.000000,94473.762315,94473.762315
147.000000,1,MS,1.000000,15.000000,93507.612966,93507.612966
148.000000,1,MS,1.000000,15.000000,92546.462644,92546.462644
149.000000,1,MS,1.000000,15.000000,91591.392978,91591.392978
150.000000,1,MS,1.000000,15.000000,90641.312443,90641.312443
151.000000,1,MS,1.000000,15.000000,89696.463630,89696.463630
152.000000,1,MS,1.000000,15.000000,88754.962983,88754.962983
153.000000,1,MS,1.000000,15.000000,87817.503453,87817.503453
154.000000,1,MS,1.000000,15.000000,86882.665670,86882.665670
155.000000,1,MS,1.000000,15.000000,85951.248483,85951.248483
156.000000,1,MS,1.000000,15.000000,85021.955804,85021.955804
157.000000,1,MS,1.000000,15.000000,84095.267709,84095.267709
158.000000,1,MS,1.000000,15.000000,83169.601758,83169.601758
159.000000,1,MS,1.000000,15.000000,82245.765632,82245.765632
160.000000,1,MS,1.000000,15.000000,81322.538321,81322.538321
161.000000,1,MS,1.000000,15.000000,80400.916616,80400.916616
162.000000,1,MS,1.000000,15.000000,79479.907907,79479.907907
163.000000,1,MS,1.000000,15.000000,78560.821436,78560.821436
164.000000,1,MS,1.000000,15.000000,77643.002215,77643.002215
165.000000,1,MS,1.000000,15.000000,76728.601344,76728.601344
166.000000,1,MS,1.000000,15.000000,75817.808596,75817.808596
167.000000,1,MS,1.000000,15.000000,74911.857648,74911.857648
168.000000,1,MS,1.000000,15.000000,74010.070482,74010.070482
169.000000,1,MS,1.000000,15.000000,73112.996044,73112.996044
170.000000,1,MS,1.000000,15.000000,72219.321172,72219.321172
171.000000,1,MS,1.000000,15.000000,71330.021011,71330.021011
172.000000,1,MS,1.000000,15.000000,70444.227810,70444.227810
173.000000,1,MS,1.000000,15.000000,69562.825816,69562.825816
174.000000,1,MS,1.000000,15.000000,68684.890404,68684.890404
175.000000,1,MS,1.000000,15.000000,67810.193339,67810.193339
176.000000,1,MS,1.000000,15.000000,66936.751717,66936.751717
177.000000,1,MS,1.000000,15.000000,66065.164458,66065.164458
178.000000,1,MS,1.000000,15.000000,65194.275739,65194.275739
179.000000,1,MS,1.000000,15.000000,64324.640989,64324.640989
180.000000,1,MS,1.000000,15.000000,63455.090074,63455.090074
181.000000,1,MS,1.000000,15.000000,62586.435166,62586.435166
182.000000,1,MS,1.000000,15.000000,61717.792086,61717.792086
183.000000,1,MS,1.000000,15.000000,60850.058691,60850.058691
184.000000,1,MS,1.000000,15.000000,59982.472316,59982.472316
185.000000,1,MS,1.000000,15.000000,59116.103174,59116.103174
186.000000,1,MS,1.000000,15.000000,58250.390770,58250.390770
187.000000,1,MS,1.000000,15.000000,57386.741029,57386.741029
188.000000,1,MS,1.000000,15.000000,56524.953512,56524.953512
189.000000,1,MS,1.000000,15.000000,55666.267115,55666.267115
190.000000,1,MS,1.000000,15.000000,54810.346841,54810.346841
191.000000,1,MS,1.000000,15.000000,53958.130174,53958.130174
192.000000,1,MS,1.000000,15.000000,53109.019822,53109.019822
193.000000,1,MS,1.000000,15.000000,52264.912923,52264.912923
194.000000,1,MS,1.000000,15.000000,51426.165334,51426.165334
195.000000,1,MS,1.000000,15.000000,50593.604979,50593.604979
196.000000,1,MS,1.000000,15.000000,49766.595757,49766.595757
197.000000,1,MS,1.000000,15.000000,48945.958390,48945.958390
198.000000,1,MS,1.000000,15.000000,48131.086195,48131.086195
199.000000,1,MS,1.000000,15.000000,47321.551832,47321.551832
200.000000,1,MS,1.000000,15.000000,46515.582261,46515.582261
201.000000,1,MS,1.000000,15.000000,45713.491101,45713.491101
202.000000,1,MS,1.000000,15.000000,44914.243701,44914.243701
203.000000,1,MS,1.000000,15.000000,44118.474975,44118.474975
204.000000,1,MS,1.000000,15.000000,43325.500507,43325.500507
205.000000,1,MS,1.000000,15.000000,42535.881563,42535.881563
206.000000,1,MS,1.000000,15.000000,41748.901915,41748.901915
207.000000,1,MS,1.000000,15.000000,40965.374541,40965.374541
208.000000,1,MS,1.000000,15.000000,40184.867963,40184.867963
209.000000,1,MS,1.000000,15.000000,39408.439405,39408.439405
210.000000,1,MS,1.000000,15.000000,38635.933393,38635.933393
211.000000,1,MS,1.000000,15.000000,37868.597467,37868.597467
