t,plant,axis,phytomer,organ,element,Ag,An,Rd,Tr,Ts,gs
8,1,MS,4,Peduncle,enclosed,0.152173,-0.055966,0.208138,0.000008,15.909341,0.054677
8,1,MS,4,Peduncle,exposed,2.400534,1.955718,0.444816,0.000012,15.858632,0.085571
8,1,MS,5,Chaff,exposed,6.988649,6.351629,0.637019,0.000016,16.405797,0.125094
9,1,MS,1,Internode,enclosed,0.100934,-0.117262,0.218195,0.000008,16.46507,0.053127
9,1,MS,1,Internode,exposed,2.126074,1.392653,0.733421,0.000012,16.584143,0.076453
9,1,MS,1,Lamina,exposed,13.258363,13.079897,0.178466,0.000038,17.815973,0.335862
9,1,MS,1,Sheath,exposed,5.751701,5.32194,0.429761,0.000019,16.914207,0.127284
9,1,MS,2,Internode,exposed,0.355422,-0.100149,0.455571,0.000009,16.6847,0.057245
9,1,MS,2,Lamina,exposed,3.539812,3.43811,0.101702,0.00002,16.424427,0.148912
9,1,MS,2,Sheath,exposed,0.806101,0.453284,0.352817,0.000011,16.779318,0.066913
9,1,MS,3,Internode,exposed,0.125428,-0.47757,0.602997,0.000008,16.628229,0.052342
9,1,MS,3,Lamina,exposed,1.081631,0.975644,0.105987,0.000013,16.28542,0.086842
9,1,MS,3,Sheath,exposed,0.247462,0.056248,0.191214,0.000009,16.842086,0.05792
9,1,MS,4,Peduncle,enclosed,0.785578,0.631268,0.15431,0.000012,16.61866,0.074213
9,1,MS,4,Peduncle,exposed,10.152102,9.813424,0.338678,0.000026,17.003609,0.202179
9,1,MS,5,Chaff,exposed,27.341594,26.682359,0.659235,0.000041,18.085674,0.351468
10,1,MS,1,Internode,enclosed,0.100934,-0.117262,0.218195,0.000008,16.46507,0.053127
10,1,MS,1,Internode,exposed,2.126074,1.392653,0.733421,0.000012,16.584143,0.076453
10,1,MS,1,Lamina,exposed,13.258363,13.079897,0.178466,0.000038,17.815973,0.335862
10,1,MS,1,Sheath,exposed,5.751701,5.32194,0.429761,0.000019,16.914207,0.127284
10,1,MS,2,Internode,exposed,0.355422,-0.100149,0.455571,0.000009,16.6847,0.057245
10,1,MS,2,Lamina,exposed,3.539812,3.43811,0.101702,0.00002,16.424427,0.148912
10,1,MS,2,Sheath,exposed,0.806101,0.453284,0.352817,0.000011,16.779318,0.066913
10,1,MS,3,Internode,exposed,0.125428,-0.47757,0.602997,0.000008,16.628229,0.052342
10,1,MS,3,Lamina,exposed,1.081631,0.975644,0.105987,0.000013,16.28542,0.086842
10,1,MS,3,Sheath,exposed,0.247462,0.056248,0.191214,0.000009,16.842086,0.05792
10,1,MS,4,Peduncle,enclosed,0.785578,0.631268,0.15431,0.000012,16.61866,0.074213
10,1,MS,4,Peduncle,exposed,10.152102,9.813424,0.338678,0.000026,17.003609,0.202179
10,1,MS,5,Chaff,exposed,27.341594,26.682359,0.659235,0.000041,18.085674,0.351468
11,1,MS,1,Internode,enclosed,0.102276,-0.095325,0.197601,0.000004,15.022887,0.053692
11,1,MS,1,Internode,exposed,1.831144,1.111867,0.719277,0.000006,15.221706,0.0766
11,1,MS,1,Lamina,exposed,11.935915,11.76726,0.168655,0.000019,17.199575,0.349851
11,1,MS,1,Sheath,exposed,5.06767,4.663506,0.404164,0.000009,15.608336,0.129418
11,1,MS,2,Internode,exposed,0.300338,-0.121686,0.422024,0.000004,15.194257,0.057145
11,1,MS,2,Lamina,exposed,3.09725,2.999694,0.097557,0.00001,15.391066,0.150907
11,1,MS,2,Sheath,exposed,0.701834,0.368149,0.333685,0.000005,15.293357,0.067182
11,1,MS,3,Internode,exposed,0.063536,-0.495027,0.558563,0.000004,15.132536,0.051386
11,1,MS,3,Lamina,exposed,0.956015,0.853133,0.102882,0.000006,15.038908,0.087957
11,1,MS,3,Sheath,exposed,0.201218,0.02424,0.176977,0.000005,15.299972,0.057507
11,1,MS,4,Peduncle,enclosed,0.65,0.499789,0.150211,0.000006,15.20344,0.073338
11,1,MS,4,Peduncle,exposed,8.98789,8.67136,0.31653,0.000013,16.142488,0.207099
11,1,MS,5,Chaff,exposed,24.682177,24.050661,0.631516,0.00002,17.40293,0.366737
12,1,MS,1,Internode,enclosed,0.102276,-0.095325,0.197601,0.000004,15.022887,0.053692
12,1,MS,1,Internode,exposed,1.831144,1.111867,0.719277,0.000006,15.221706,0.0766
12,1,MS,1,Lamina,exposed,11.935915,11.76726,0.168655,0.000019,17.199575,0.349851
12,1,MS,1,Sheath,exposed,5.06767,4.663506,0.404164,0.000009,15.608336,0.129418
12,1,MS,2,Internode,exposed,0.300338,-0.121686,0.422024,0.000004,15.194257,0.057145
12,1,MS,2,Lamina,exposed,3.09725,2.999694,0.097557,0.00001,15.391066,0.150907
12,1,MS,2,Sheath,exposed,0.701834,0.368149,0.333685,0.000005,15.293357,0.067182
12,1,MS,3,Internode,exposed,0.063536,-0.495027,0.558563,0.000004,15.132536,0.051386
12,1,MS,3,Lamina,exposed,0.956015,0.853133,0.102882,0.000006,15.038908,0.087957
12,1,MS,3,Sheath,exposed,0.201218,0.02424,0.176977,0.000005,15.299972,0.057507
12,1,MS,4,Peduncle,enclosed,0.65,0.499789,0.150211,0.000006,15.20344,0.073338
12,1,MS,4,Peduncle,exposed,8.98789,8.67136,0.31653,0.000013,16.142488,0.207099
12,1,MS,5,Chaff,exposed,24.682177,24.050661,0.631516,0.00002,17.40293,0.366737
13,1,MS,1,Internode,enclosed,0.051094,-0.157183,0.208277,0.000003,15.37074,0.051931
13,1,MS,1,Internode,exposed,1.009044,0.100793,0.908251,0.000004,15.4958,0.065379
13,1,MS,1,Lamina,exposed,7.450681,7.290562,0.160119,0.000012,16.366338,0.245673
13,1,MS,1,Sheath,exposed,2.898042,2.394048,0.503994,0.000006,15.750115,0.097547
13,1,MS,2,Internode,exposed,0.180324,-0.275599,0.455923,0.000003,15.500345,0.054492
13,1,MS,2,Lamina,exposed,1.788883,1.665523,0.12336,0.000006,15.585641,0.111104
13,1,MS,2,Sheath,exposed,0.411188,0.025316,0.385872,0.000004,15.574711,0.060556
13,1,MS,3,Internode,exposed,0.063321,-0.506111,0.569432,0.000003,15.455164,0.051448
13,1,MS,3,Lamina,exposed,0.534705,0.405932,0.128774,0.000004,15.391834,0.07226
13,1,MS,3,Sheath,exposed,0.100782,-0.090087,0.190869,0.000003,15.584039,0.05394
13,1,MS,4,Peduncle,enclosed,0.353272,0.174284,0.178988,0.000004,15.513295,0.063275
13,1,MS,4,Peduncle,exposed,5.161434,4.833086,0.328348,0.000007,15.924507,0.144352
13,1,MS,5,Chaff,exposed,14.672706,14.081539,0.591167,0.000012,16.507388,0.245462
14,1,MS,1,Internode,enclosed,0.051094,-0.157183,0.208277,0.000003,15.37074,0.051931
14,1,MS,1,Internode,exposed,1.009044,0.100793,0.908251,0.000004,15.4958,0.065379
14,1,MS,1,Lamina,exposed,7.450681,7.290562,0.160119,0.000012,16.366338,0.245673
14,1,MS,1,Sheath,exposed,2.898042,2.394048,0.503994,0.000006,15.750115,0.097547
14,1,MS,2,Internode,exposed,0.180324,-0.275599,0.455923,0.000003,15.500345,0.054492
14,1,MS,2,Lamina,exposed,1.788883,1.665523,0.12336,0.000006,15.585641,0.111104
14,1,MS,2,Sheath,exposed,0.411188,0.025316,0.385872,0.000004,15.574711,0.060556
14,1,MS,3,Internode,exposed,0.063321,-0.506111,0.569432,0.000003,15.455164,0.051448
14,1,MS,3,Lamina,exposed,0.534705,0.405932,0.128774,0.000004,15.391834,0.07226
14,1,MS,3,Sheath,exposed,0.100782,-0.090087,0.190869,0.000003,15.584039,0.05394
14,1,MS,4,Peduncle,enclosed,0.353272,0.174284,0.178988,0.000004,15.513295,0.063275
14,1,MS,4,Peduncle,exposed,5.161434,4.833086,0.328348,0.000007,15.924507,0.144352
14,1,MS,5,Chaff,exposed,14.672706,14.081539,0.591167,0.000012,16.507388,0.245462
15,1,MS,1,Internode,enclosed,0.052011,-0.130755,0.182765,0.000002,13.392822,0.05203
15,1,MS,1,Internode,exposed,1.518066,0.823503,0.694563,0.000003,13.668719,0.074013
15,1,MS,1,Lamina,exposed,10.084302,9.926816,0.157486,0.000008,16.243057,0.325576
15,1,MS,1,Sheath,exposed,4.186074,3.799422,0.386652,0.000004,14.141725,0.121263
15,1,MS,2,Internode,exposed,0.244198,-0.145601,0.389799,0.000002,13.56041,0.05628
15,1,MS,2,Lamina,exposed,2.540444,2.446045,0.094398,0.000004,14.045668,0.140058
15,1,MS,2,Sheath,exposed,0.593836,0.281081,0.312755,0.000002,13.679447,0.065785
15,1,MS,3,Internode,exposed,0.064408,-0.435523,0.499931,0.000002,13.488756,0.051521
15,1,MS,3,Lamina,exposed,0.779474,0.679094,0.10038,0.000003,13.533871,0.083622
15,1,MS,3,Sheath,exposed,0.153422,-0.009197,0.16262,0.000002,13.647243,0.056202
15,1,MS,4,Peduncle,enclosed,0.559643,0.417506,0.142137,0.000003,13.622293,0.071724
15,1,MS,4,Peduncle,exposed,7.410129,7.120209,0.289921,0.000005,14.941446,0.190826
15,1,MS,5,Chaff,exposed,20.585585,19.998592,0.586994,0.000008,16.436098,0.336014
16,1,MS,1,Internode,enclosed,0.052011,-0.130755,0.182765,0.000002,13.392822,0.05203
16,1,MS,1,Internode,exposed,1.518066,0.823503,0.694563,0.000003,13.668719,0.074013
16,1,MS,1,Lamina,exposed,10.084302,9.926816,0.157486,0.000008,16.243057,0.325576
16,1,MS,1,Sheath,exposed,4.186074,3.799422,0.386652,0.000004,14.141725,0.121263
16,1,MS,2,Internode,exposed,0.244198,-0.145601,0.389799,0.000002,13.56041,0.05628
16,1,MS,2,Lamina,exposed,2.540444,2.446045,0.094398,0.000004,14.045668,0.140058
16,1,MS,2,Sheath,exposed,0.593836,0.281081,0.312755,0.000002,13.679447,0.065785
16,1,MS,3,Internode,exposed,0.064408,-0.435523,0.499931,0.000002,13.488756,0.051521
16,1,MS,3,Lamina,exposed,0.779474,0.679094,0.10038,0.000003,13.533871,0.083622
16,1,MS,3,Sheath,exposed,0.153422,-0.009197,0.16262,0.000002,13.647243,0.056202
16,1,MS,4,Peduncle,enclosed,0.559643,0.417506,0.142137,0.000003,13.622293,0.071724
16,1,MS,4,Peduncle,exposed,7.410129,7.120209,0.289921,0.000005,14.941446,0.190826
16,1,MS,5,Chaff,exposed,20.585585,19.998592,0.586994,0.000008,16.436098,0.336014
17,1,MS,1,Internode,enclosed,0,-0.178006,0.178006,0.000001,12.521935,0.05
17,1,MS,1,Internode,exposed,0.260807,-0.681328,0.942135,0.000001,12.603792,0.054222
17,1,MS,1,Lamina,exposed,2.164504,1.995153,0.169351,0.000003,12.961432,0.110145
17,1,MS,1,Sheath,exposed,0.727462,0.019096,0.708366,0.000002,12.786179,0.062628
17,1,MS,2,Internode,exposed,0,-0.414417,0.414417,0.000001,12.629169,0.05
17,1,MS,2,Lamina,exposed,0.477443,0.308954,0.168489,0.000002,12.648625,0.067307
17,1,MS,2,Sheath,exposed,0.060754,-0.31508,0.375834,0.000001,12.691366,0.051651
17,1,MS,3,Internode,exposed,0,-0.487055,0.487055,0.000001,12.595935,0.05
17,1,MS,3,Lamina,exposed,0.101685,-0.033125,0.13481,0.000001,12.526968,0.054487
17,1,MS,3,Sheath,exposed,0,-0.16701,0.16701,0.000001,12.711399,0.05
17,1,MS,4,Peduncle,enclosed,0.052464,-0.123804,0.176267,0.000001,12.642697,0.052076
17,1,MS,4,Peduncle,exposed,1.389745,0.934304,0.455441,0.000002,12.761435,0.07689
17,1,MS,5,Chaff,exposed,4.170807,3.581914,0.588893,0.000003,13.038091,0.108277
18,1,MS,1,Internode,enclosed,0,-0.178006,0.178006,0.000001,12.521935,0.05
18,1,MS,1,Internode,exposed,0.260807,-0.681328,0.942135,0.000001,12.603792,0.054222
18,1,MS,1,Lamina,exposed,2.164504,1.995153,0.169351,0.000003,12.961432,0.110145
18,1,MS,1,Sheath,exposed,0.727462,0.019096,0.708366,0.000002,12.786179,0.062628
18,1,MS,2,Internode,exposed,0,-0.414417,0.414417,0.000001,12.629169,0.05
18,1,MS,2,Lamina,exposed,0.477443,0.308954,0.168489,0.000002,12.648625,0.067307
18,1,MS,2,Sheath,exposed,0.060754,-0.31508,0.375834,0.000001,12.691366,0.051651
18,1,MS,3,Internode,exposed,0,-0.487055,0.487055,0.000001,12.595935,0.05
18,1,MS,3,Lamina,exposed,0.101685,-0.033125,0.13481,0.000001,12.526968,0.054487
18,1,MS,3,Sheath,exposed,0,-0.16701,0.16701,0.000001,12.711399,0.05
18,1,MS,4,Peduncle,enclosed,0.052464,-0.123804,0.176267,0.000001,12.642697,0.052076
18,1,MS,4,Peduncle,exposed,1.389745,0.934304,0.455441,0.000002,12.761435,0.07689
18,1,MS,5,Chaff,exposed,4.170807,3.581914,0.588893,0.000003,13.038091,0.108277
19,1,MS,1,Internode,enclosed,0,-0.165112,0.165112,0.000001,11.355297,0.05
19,1,MS,1,Internode,exposed,0.434621,-0.399578,0.834199,0.000001,11.673599,0.057286
19,1,MS,1,Lamina,exposed,3.401773,3.251102,0.150671,0.000001,14.186444,0.148086
19,1,MS,1,Sheath,exposed,1.203989,0.614403,0.589586,0.000001,12.283547,0.071625
19,1,MS,2,Internode,exposed,0.062572,-0.317429,0.380001,0.000001,11.599675,0.051684
19,1,MS,2,Lamina,exposed,0.788656,0.649255,0.139401,0.000001,12.075267,0.079609
19,1,MS,2,Sheath,exposed,0.122111,-0.220853,0.342963,0.000001,11.740066,0.053427
19,1,MS,3,Internode,exposed,0,-0.458193,0.458193,0.000001,11.495116,0.05
19,1,MS,3,Lamina,exposed,0.203818,0.086214,0.117604,0.000001,11.474317,0.0593
19,1,MS,3,Sheath,exposed,0.052203,-0.10061,0.152813,0.000001,11.752719,0.052222
19,1,MS,4,Peduncle,enclosed,0.157872,0.000637,0.157235,0.000001,11.688321,0.056432
19,1,MS,4,Peduncle,exposed,2.298758,1.936337,0.362421,0.000001,12.887354,0.0961
19,1,MS,5,Chaff,exposed,6.571646,6.023208,0.548438,0.000001,14.493514,0.145221
20,1,MS,1,Internode,enclosed,0,-0.165112,0.165112,0.000001,11.355297,0.05
20,1,MS,1,Internode,exposed,0.434621,-0.399578,0.834199,0.000001,11.673599,0.057286
20,1,MS,1,Lamina,exposed,3.401773,3.251102,0.150671,0.000001,14.186444,0.148086
20,1,MS,1,Sheath,exposed,1.203989,0.614403,0.589586,0.000001,12.283547,0.071625
20,1,MS,2,Internode,exposed,0.062572,-0.317429,0.380001,0.000001,11.599675,0.051684
20,1,MS,2,Lamina,exposed,0.788656,0.649255,0.139401,0.000001,12.075267,0.079609
20,1,MS,2,Sheath,exposed,0.122111,-0.220853,0.342963,0.000001,11.740066,0.053427
20,1,MS,3,Internode,exposed,0,-0.458193,0.458193,0.000001,11.495116,0.05
20,1,MS,3,Lamina,exposed,0.203818,0.086214,0.117604,0.000001,11.474317,0.0593
20,1,MS,3,Sheath,exposed,0.052203,-0.10061,0.152813,0.000001,11.752719,0.052222
20,1,MS,4,Peduncle,enclosed,0.157872,0.000637,0.157235,0.000001,11.688321,0.056432
20,1,MS,4,Peduncle,exposed,2.298758,1.936337,0.362421,0.000001,12.887354,0.0961
20,1,MS,5,Chaff,exposed,6.571646,6.023208,0.548438,0.000001,14.493514,0.145221
21,1,MS,1,Internode,enclosed,0,-0.172992,0.172992,0.000001,11.891092,0.05
21,1,MS,1,Internode,exposed,0,-0.976301,0.976301,0.000001,11.959326,0.05
21,1,MS,1,Lamina,exposed,0,-0.351086,0.351086,0.000001,12.027618,0.05
21,1,MS,1,Sheath,exposed,0,-0.872923,0.872923,0.000001,12.154792,0.05
21,1,MS,2,Internode,exposed,0,-0.406209,0.406209,0.000001,12.031589,0.05
21,1,MS,2,Lamina,exposed,0,-0.20538,0.20538,0.000001,11.93875,0.05
21,1,MS,2,Sheath,exposed,0,-0.371758,0.371758,0.000001,12.103479,0.05
21,1,MS,3,Internode,exposed,0,-0.476737,0.476737,0.000001,11.988063,0.05
21,1,MS,3,Lamina,exposed,0,-0.135991,0.135991,0.000001,11.859378,0.05
21,1,MS,3,Sheath,exposed,0,-0.161668,0.161668,0.000001,12.139221,0.05
21,1,MS,4,Peduncle,enclosed,0,-0.176623,0.176623,0.000001,12.039655,0.05
21,1,MS,4,Peduncle,exposed,0,-0.700243,0.700243,0.000001,11.952662,0.05
21,1,MS,5,Chaff,exposed,0,-1.313788,1.313788,0.000001,12.109538,0.05
22,1,MS,1,Internode,enclosed,0,-0.172992,0.172992,0.000001,11.891092,0.05
22,1,MS,1,Internode,exposed,0,-0.976301,0.976301,0.000001,11.959326,0.05
22,1,MS,1,Lamina,exposed,0,-0.351086,0.351086,0.000001,12.027618,0.05
22,1,MS,1,Sheath,exposed,0,-0.872923,0.872923,0.000001,12.154792,0.05
22,1,MS,2,Internode,exposed,0,-0.406209,0.406209,0.000001,12.031589,0.05
22,1,MS,2,Lamina,exposed,0,-0.20538,0.20538,0.000001,11.93875,0.05
22,1,MS,2,Sheath,exposed,0,-0.371758,0.371758,0.000001,12.103479,0.05
22,1,MS,3,Internode,exposed,0,-0.476737,0.476737,0.000001,11.988063,0.05
22,1,MS,3,Lamina,exposed,0,-0.135991,0.135991,0.000001,11.859378,0.05
22,1,MS,3,Sheath,exposed,0,-0.161668,0.161668,0.000001,12.139221,0.05
22,1,MS,4,Peduncle,enclosed,0,-0.176623,0.176623,0.000001,12.039655,0.05
