t,plant,axis,metamer,organ,element,Ag,Tr,Ts,gs
5,1,MS,13,peduncle,HiddenElement,0.002141,0.058661,15.974670,0.050064
5,1,MS,13,peduncle,StemElement,0.040148,0.060336,16.035768,0.051211
5,1,MS,14,ear,StemElement,0.126487,0.061016,15.861507,0.053318
6,1,MS,12,blade,LeafElement1,0.096257,0.061399,15.973983,0.052705
6,1,MS,12,internode,HiddenElement,0.000463,0.057917,15.881455,0.050011
6,1,MS,12,internode,StemElement,0.008583,0.058414,15.922278,0.050205
6,1,MS,12,sheath,StemElement,0.019015,0.058861,15.929874,0.050584
6,1,MS,13,peduncle,HiddenElement,0.002141,0.058661,15.974670,0.050064
6,1,MS,13,peduncle,StemElement,0.040148,0.060336,16.035768,0.051211
6,1,MS,14,ear,StemElement,0.126487,0.061016,15.861507,0.053318
7,1,MS,12,blade,LeafElement1,0.474162,0.073355,16.153079,0.063379
7,1,MS,12,internode,HiddenElement,0.002317,0.058354,15.982628,0.050055
7,1,MS,12,internode,StemElement,0.042898,0.059699,16.030518,0.051020
7,1,MS,12,sheath,StemElement,0.094741,0.061791,16.050011,0.052907
7,1,MS,13,peduncle,HiddenElement,0.010698,0.059340,16.077256,0.050321
7,1,MS,13,peduncle,StemElement,0.199459,0.066088,16.169622,0.056010
7,1,MS,14,ear,StemElement,0.620279,0.074941,16.103985,0.066311
8,1,MS,12,blade,LeafElement1,0.474162,0.073355,16.153079,0.063379
8,1,MS,12,internode,HiddenElement,0.002317,0.058354,15.982628,0.050055
8,1,MS,12,internode,StemElement,0.042898,0.059699,16.030518,0.051020
8,1,MS,12,sheath,StemElement,0.094741,0.061791,16.050011,0.052907
8,1,MS,13,peduncle,HiddenElement,0.010698,0.059340,16.077256,0.050321
8,1,MS,13,peduncle,StemElement,0.199459,0.066088,16.169622,0.056010
8,1,MS,14,ear,StemElement,0.620279,0.074941,16.103985,0.066311
9,1,MS,12,blade,LeafElement1,1.480332,0.245024,15.966184,0.087912
9,1,MS,12,internode,HiddenElement,0.007437,0.145143,15.657082,0.050160
9,1,MS,12,internode,StemElement,0.137347,0.153405,15.729585,0.052949
9,1,MS,12,sheath,StemElement,0.301780,0.168006,15.767292,0.058370
9,1,MS,13,peduncle,HiddenElement,0.034300,0.148980,15.786266,0.050931
9,1,MS,13,peduncle,StemElement,0.630990,0.194381,15.943555,0.067184
9,1,MS,14,ear,StemElement,1.924228,0.257567,16.005357,0.095909
10,1,MS,12,blade,LeafElement1,1.480332,0.245024,15.966184,0.087912
10,1,MS,12,internode,HiddenElement,0.007437,0.145143,15.657082,0.050160
10,1,MS,12,internode,StemElement,0.137347,0.153405,15.729585,0.052949
10,1,MS,12,sheath,StemElement,0.301780,0.168006,15.767292,0.058370
10,1,MS,13,peduncle,HiddenElement,0.034300,0.148980,15.786266,0.050931
10,1,MS,13,peduncle,StemElement,0.630990,0.194381,15.943555,0.067184
10,1,MS,14,ear,StemElement,1.924228,0.257567,16.005357,0.095909
11,1,MS,12,blade,LeafElement1,5.200510,0.655632,16.075159,0.171322
11,1,MS,12,internode,HiddenElement,0.028435,0.221058,15.261566,0.050555
11,1,MS,12,internode,StemElement,0.519254,0.260769,15.381740,0.060096
11,1,MS,12,sheath,StemElement,1.125734,0.332029,15.477324,0.078301
11,1,MS,13,peduncle,HiddenElement,0.130744,0.234712,15.425070,0.053214
11,1,MS,13,peduncle,StemElement,2.313027,0.449170,15.766151,0.107144
11,1,MS,14,ear,StemElement,6.723549,0.696647,16.673333,0.196430
12,1,MS,12,blade,LeafElement1,5.200510,0.655632,16.075159,0.171322
12,1,MS,12,internode,HiddenElement,0.028435,0.221058,15.261566,0.050555
12,1,MS,12,internode,StemElement,0.519254,0.260769,15.381740,0.060096
12,1,MS,12,sheath,StemElement,1.125734,0.332029,15.477324,0.078301
12,1,MS,13,peduncle,HiddenElement,0.130744,0.234712,15.425070,0.053214
12,1,MS,13,peduncle,StemElement,2.313027,0.449170,15.766151,0.107144
12,1,MS,14,ear,StemElement,6.723549,0.696647,16.673333,0.196430
13,1,MS,12,blade,LeafElement1,15.711968,2.100361,19.767325,0.338942
13,1,MS,12,internode,HiddenElement,0.120375,0.433986,16.261955,0.051829
13,1,MS,12,internode,StemElement,2.108346,0.662965,16.469281,0.081995
13,1,MS,12,sheath,StemElement,4.405683,1.033378,16.723018,0.136644
13,1,MS,13,peduncle,HiddenElement,0.546267,0.507233,16.492204,0.060467
13,1,MS,13,peduncle,StemElement,8.507464,1.553870,17.486172,0.214998
13,1,MS,14,ear,StemElement,20.708612,2.160020,23.295597,0.408464
14,1,MS,12,blade,LeafElement1,15.711968,2.100361,19.767325,0.338942
14,1,MS,12,internode,HiddenElement,0.120375,0.433986,16.261955,0.051829
14,1,MS,12,internode,StemElement,2.108346,0.662965,16.469281,0.081995
14,1,MS,12,sheath,StemElement,4.405683,1.033378,16.723018,0.136644
14,1,MS,13,peduncle,HiddenElement,0.546267,0.507233,16.492204,0.060467
14,1,MS,13,peduncle,StemElement,8.507464,1.553870,17.486172,0.214998
14,1,MS,14,ear,StemElement,20.708612,2.160020,23.295597,0.408464
15,1,MS,12,blade,LeafElement1,12.758477,2.157446,18.845294,0.256227
15,1,MS,12,internode,HiddenElement,0.087083,0.537666,16.998782,0.051168
15,1,MS,12,internode,StemElement,1.543972,0.727044,17.146449,0.070664
15,1,MS,12,sheath,StemElement,3.263566,1.047763,17.232232,0.106531
15,1,MS,13,peduncle,HiddenElement,0.396997,0.599420,17.253820,0.056716
15,1,MS,13,peduncle,StemElement,6.431975,1.525513,17.763700,0.159642
15,1,MS,14,ear,StemElement,16.443693,2.261678,20.938958,0.299697
16,1,MS,12,blade,LeafElement1,12.758477,2.157446,18.845294,0.256227
16,1,MS,12,internode,HiddenElement,0.087083,0.537666,16.998782,0.051168
16,1,MS,12,internode,StemElement,1.543972,0.727044,17.146449,0.070664
16,1,MS,12,sheath,StemElement,3.263566,1.047763,17.232232,0.106531
16,1,MS,13,peduncle,HiddenElement,0.396997,0.599420,17.253820,0.056716
16,1,MS,13,peduncle,StemElement,6.431975,1.525513,17.763700,0.159642
16,1,MS,14,ear,StemElement,16.443693,2.261678,20.938958,0.299697
17,1,MS,12,blade,LeafElement1,11.371001,2.110250,18.226459,0.212577
17,1,MS,12,internode,HiddenElement,0.074865,0.602851,16.818424,0.050891
17,1,MS,12,internode,StemElement,1.334202,0.768179,16.967064,0.065823
17,1,MS,12,sheath,StemElement,2.825411,1.051514,17.028274,0.093335
17,1,MS,13,peduncle,HiddenElement,0.341853,0.657936,17.099372,0.055127
17,1,MS,13,peduncle,StemElement,5.600011,1.485341,17.519944,0.134430
17,1,MS,14,ear,StemElement,14.510951,2.221406,19.824505,0.244755
18,1,MS,12,blade,LeafElement1,11.371001,2.110250,18.226459,0.212577
18,1,MS,12,internode,HiddenElement,0.074865,0.602851,16.818424,0.050891
18,1,MS,12,internode,StemElement,1.334202,0.768179,16.967064,0.065823
18,1,MS,12,sheath,StemElement,2.825411,1.051514,17.028274,0.093335
18,1,MS,13,peduncle,HiddenElement,0.341853,0.657936,17.099372,0.055127
18,1,MS,13,peduncle,StemElement,5.600011,1.485341,17.519944,0.134430
18,1,MS,14,ear,StemElement,14.510951,2.221406,19.824505,0.244755
19,1,MS,12,blade,LeafElement1,4.106856,0.949652,15.063864,0.116898
19,1,MS,12,internode,HiddenElement,0.022036,0.439159,14.678889,0.050301
19,1,MS,12,internode,StemElement,0.403796,0.483518,14.795893,0.055493
19,1,MS,12,sheath,StemElement,0.879764,0.563240,14.824970,0.065450
19,1,MS,13,peduncle,HiddenElement,0.101383,0.456490,14.916690,0.051746
19,1,MS,13,peduncle,StemElement,1.812996,0.698579,15.123456,0.081206
19,1,MS,14,ear,StemElement,5.290225,1.007303,15.208231,0.130504
20,1,MS,12,blade,LeafElement1,4.106856,0.949652,15.063864,0.116898
20,1,MS,12,internode,HiddenElement,0.022036,0.439159,14.678889,0.050301
20,1,MS,12,internode,StemElement,0.403796,0.483518,14.795893,0.055493
20,1,MS,12,sheath,StemElement,0.879764,0.563240,14.824970,0.065450
20,1,MS,13,peduncle,HiddenElement,0.101383,0.456490,14.916690,0.051746
20,1,MS,13,peduncle,StemElement,1.812996,0.698579,15.123456,0.081206
20,1,MS,14,ear,StemElement,5.290225,1.007303,15.208231,0.130504
21,1,MS,12,blade,LeafElement1,0.000000,0.160284,10.753232,0.050000
21,1,MS,12,internode,HiddenElement,0.000000,0.158825,10.641257,0.050000
21,1,MS,12,internode,StemElement,0.000000,0.159602,10.700976,0.050000
21,1,MS,12,sheath,StemElement,0.000000,0.159694,10.708054,0.050000
21,1,MS,13,peduncle,HiddenElement,0.000000,0.160679,10.783419,0.050000
21,1,MS,13,peduncle,StemElement,0.000000,0.161755,10.865284,0.050000
21,1,MS,14,ear,StemElement,0.000000,0.157740,10.557392,0.050000
22,1,MS,12,blade,LeafElement1,0.000000,0.160284,10.753232,0.050000
22,1,MS,12,internode,HiddenElement,0.000000,0.158825,10.641257,0.050000
22,1,MS,12,internode,StemElement,0.000000,0.159602,10.700976,0.050000
22,1,MS,12,sheath,StemElement,0.000000,0.159694,10.708054,0.050000
22,1,MS,13,peduncle,HiddenElement,0.000000,0.160679,10.783419,0.050000
22,1,MS,13,peduncle,StemElement,0.000000,0.161755,10.865284,0.050000
22,1,MS,14,ear,StemElement,0.000000,0.157740,10.557392,0.050000
23,1,MS,12,blade,LeafElement1,0.000000,0.222015,11.012706,0.050000
23,1,MS,12,internode,HiddenElement,0.000000,0.219980,10.882920,0.050000
23,1,MS,12,internode,StemElement,0.000000,0.221063,10.952116,0.050000
23,1,MS,12,sheath,StemElement,0.000000,0.221192,10.960320,0.050000
23,1,MS,13,peduncle,HiddenElement,0.000000,0.222566,11.047725,0.050000
23,1,MS,13,peduncle,StemElement,0.000000,0.224067,11.142760,0.050000
23,1,MS,14,ear,StemElement,0.000000,0.218467,10.785832,0.050000
24,1,MS,12,blade,LeafElement1,0.000000,0.222015,11.012706,0.050000
24,1,MS,12,internode,HiddenElement,0.000000,0.219980,10.882920,0.050000
24,1,MS,12,internode,StemElement,0.000000,0.221063,10.952116,0.050000
24,1,MS,12,sheath,StemElement,0.000000,0.221192,10.960320,0.050000
24,1,MS,13,peduncle,HiddenElement,0.000000,0.222566,11.047725,0.050000
24,1,MS,13,peduncle,StemElement,0.000000,0.224067,11.142760,0.050000
24,1,MS,14,ear,StemElement,0.000000,0.218467,10.785832,0.050000
25,1,MS,12,blade,LeafElement1,0.000000,0.110133,9.771774,0.050000
25,1,MS,12,internode,HiddenElement,0.000000,0.109209,9.680354,0.050000
25,1,MS,12,internode,StemElement,0.000000,0.109686,9.727651,0.050000
25,1,MS,12,sheath,StemElement,0.000000,0.109743,9.733253,0.050000
25,1,MS,13,peduncle,HiddenElement,0.000000,0.110347,9.792856,0.050000
25,1,MS,13,peduncle,StemElement,0.000000,0.111006,9.857501,0.050000
25,1,MS,14,ear,StemElement,0.000000,0.108541,9.613843,0.050000
26,1,MS,12,blade,LeafElement1,0.000000,0.110133,9.771774,0.050000
26,1,MS,12,internode,HiddenElement,0.000000,0.109209,9.680354,0.050000
26,1,MS,12,internode,StemElement,0.000000,0.109686,9.727651,0.050000
26,1,MS,12,sheath,StemElement,0.000000,0.109743,9.733253,0.050000
26,1,MS,13,peduncle,HiddenElement,0.000000,0.110347,9.792856,0.050000
26,1,MS,13,peduncle,StemElement,0.000000,0.111006,9.857501,0.050000
26,1,MS,14,ear,StemElement,0.000000,0.108541,9.613843,0.050000
27,1,MS,12,blade,LeafElement1,0.000000,0.171391,11.063729,0.050000
27,1,MS,12,internode,HiddenElement,0.000000,0.169940,10.957283,0.050000
27,1,MS,12,internode,StemElement,0.000000,0.170689,11.012332,0.050000
27,1,MS,12,sheath,StemElement,0.000000,0.170778,11.018855,0.050000
27,1,MS,13,peduncle,HiddenElement,0.000000,0.171727,11.088301,0.050000
27,1,MS,13,peduncle,StemElement,0.000000,0.172762,11.163705,0.050000
27,1,MS,14,ear,StemElement,0.000000,0.168892,10.879948,0.050000
28,1,MS,12,blade,LeafElement1,0.000000,0.171391,11.063729,0.050000
28,1,MS,12,internode,HiddenElement,0.000000,0.169940,10.957283,0.050000
28,1,MS,12,internode,StemElement,0.000000,0.170689,11.012332,0.050000
28,1,MS,12,sheath,StemElement,0.000000,0.170778,11.018855,0.050000
28,1,MS,13,peduncle,HiddenElement,0.000000,0.171727,11.088301,0.050000
28,1,MS,13,peduncle,StemElement,0.000000,0.172762,11.163705,0.050000
28,1,MS,14,ear,StemElement,0.000000,0.168892,10.879948,0.050000
29,1,MS,12,blade,LeafElement1,1.177565,0.094556,8.860488,0.082082
29,1,MS,12,internode,HiddenElement,0.005865,0.059186,8.584319,0.050134
29,1,MS,12,internode,StemElement,0.108734,0.062053,8.643178,0.052469
29,1,MS,12,sheath,StemElement,0.240076,0.067151,8.678182,0.057035
29,1,MS,13,peduncle,HiddenElement,0.027163,0.060536,8.685170,0.050781
29,1,MS,13,peduncle,StemElement,0.504220,0.076364,8.819610,0.064468
29,1,MS,14,ear,StemElement,1.535005,0.099404,8.889973,0.088944
30,1,MS,12,blade,LeafElement1,1.177565,0.094556,8.860488,0.082082
30,1,MS,12,internode,HiddenElement,0.005865,0.059186,8.584319,0.050134
30,1,MS,12,internode,StemElement,0.108734,0.062053,8.643178,0.052469
30,1,MS,12,sheath,StemElement,0.240076,0.067151,8.678182,0.057035
30,1,MS,13,peduncle,HiddenElement,0.027163,0.060536,8.685170,0.050781
30,1,MS,13,peduncle,StemElement,0.504220,0.076364,8.819610,0.064468
30,1,MS,14,ear,StemElement,1.535005,0.099404,8.889973,0.088944
31,1,MS,12,blade,LeafElement1,9.042312,1.117844,15.150660,0.237947
31,1,MS,12,internode,HiddenElement,0.055934,0.285131,13.853127,0.050966
31,1,MS,12,internode,StemElement,1.010794,0.371671,13.996590,0.067380
31,1,MS,12,sheath,StemElement,2.164999,0.523456,14.128665,0.098106
31,1,MS,13,peduncle,HiddenElement,0.256661,0.312843,14.027088,0.055584
31,1,MS,13,peduncle,StemElement,4.363846,0.759136,14.495543,0.145205
31,1,MS,14,ear,StemElement,11.835101,1.194360,16.313792,0.280442
32,1,MS,12,blade,LeafElement1,9.042312,1.117844,15.150660,0.237947
32,1,MS,12,internode,HiddenElement,0.055934,0.285131,13.853127,0.050966
32,1,MS,12,internode,StemElement,1.010794,0.371671,13.996590,0.067380
32,1,MS,12,sheath,StemElement,2.164999,0.523456,14.128665,0.098106
32,1,MS,13,peduncle,HiddenElement,0.256661,0.312843,14.027088,0.055584
32,1,MS,13,peduncle,StemElement,4.363846,0.759136,14.495543,0.145205
32,1,MS,14,ear,StemElement,11.835101,1.194360,16.313792,0.280442
33,1,MS,12,blade,LeafElement1,14.545217,2.078810,19.355499,0.331409
33,1,MS,12,internode,HiddenElement,0.105163,0.418962,17.025880,0.051683
33,1,MS,12,internode,StemElement,1.852885,0.627477,17.181214,0.079570
33,1,MS,12,sheath,StemElement,3.907783,0.975362,17.336100,0.130651
33,1,MS,13,peduncle,HiddenElement,0.478303,0.484864,17.223647,0.059649
33,1,MS,13,peduncle,StemElement,7.659399,1.478983,17.878046,0.205485
33,1,MS,14,ear,StemElement,19.121465,2.179260,21.845525,0.398390
34,1,MS,12,blade,LeafElement1,14.545217,2.078810,19.355499,0.331409
34,1,MS,12,internode,HiddenElement,0.105163,0.418962,17.025880,0.051683
34,1,MS,12,internode,StemElement,1.852885,0.627477,17.181214,0.079570
34,1,MS,12,sheath,StemElement,3.907783,0.975362,17.336100,0.130651
34,1,MS,13,peduncle,HiddenElement,0.478303,0.484864,17.223647,0.059649
34,1,MS,13,peduncle,StemElement,7.659399,1.478983,17.878046,0.205485
34,1,MS,14,ear,StemElement,19.121465,2.179260,21.845525,0.398390
35,1,MS,12,blade,LeafElement1,17.493639,2.897949,21.714975,0.356632
35,1,MS,12,internode,HiddenElement,0.139132,0.557790,18.767438,0.052016
35,1,MS,12,internode,StemElement,2.415680,0.880703,18.890830,0.084927
35,1,MS,12,sheath,StemElement,5.042500,1.404212,19.003747,0.144294
35,1,MS,13,peduncle,HiddenElement,0.629989,0.660516,18.982417,0.061506
35,1,MS,13,peduncle,StemElement,9.690792,2.133396,19.662733,0.228371
35,1,MS,14,ear,StemElement,22.675598,2.990770,25.156010,0.425429
36,1,MS,12,blade,LeafElement1,17.493639,2.897949,21.714975,0.356632
36,1,MS,12,internode,HiddenElement,0.139132,0.557790,18.767438,0.052016
36,1,MS,12,internode,StemElement,2.415680,0.880703,18.890830,0.084927
36,1,MS,12,sheath,StemElement,5.042500,1.404212,19.003747,0.144294
36,1,MS,13,peduncle,HiddenElement,0.629989,0.660516,18.982417,0.061506
36,1,MS,13,peduncle,StemElement,9.690792,2.133396,19.662733,0.228371
36,1,MS,14,ear,StemElement,22.675598,2.990770,25.156010,0.425429
37,1,MS,12,blade,LeafElement1,17.866490,3.504303,23.037766,0.340818
37,1,MS,12,internode,HiddenElement,0.141099,0.695993,20.610471,0.051902
37,1,MS,12,internode,StemElement,2.435232,1.075169,20.671425,0.082754
37,1,MS,12,sheath,StemElement,5.086152,1.691702,20.659102,0.138420
37,1,MS,13,peduncle,HiddenElement,0.635793,0.816926,20.842171,0.060801
37,1,MS,13,peduncle,StemElement,9.782555,2.558393,21.253846,0.217317
37,1,MS,14,ear,StemElement,22.593284,3.597293,26.385614,0.397558
38,1,MS,12,blade,LeafElement1,17.866490,3.504303,23.037766,0.340818
38,1,MS,12,internode,HiddenElement,0.141099,0.695993,20.610471,0.051902
38,1,MS,12,internode,StemElement,2.435232,1.075169,20.671425,0.082754
38,1,MS,12,sheath,StemElement,5.086152,1.691702,20.659102,0.138420
38,1,MS,13,peduncle,HiddenElement,0.635793,0.816926,20.842171,0.060801
38,1,MS,13,peduncle,StemElement,9.782555,2.558393,21.253846,0.217317
38,1,MS,14,ear,StemElement,22.593284,3.597293,26.385614,0.397558
39,1,MS,12,blade,LeafElement1,15.018860,3.513835,22.460178,0.201549
39,1,MS,12,internode,HiddenElement,0.115127,1.023629,20.671041,0.050967
39,1,MS,12,internode,StemElement,1.993001,1.321103,20.812761,0.066686
39,1,MS,12,sheath,StemElement,4.130135,1.816785,20.823465,0.094638
39,1,MS,13,peduncle,HiddenElement,0.519714,1.122537,21.028999,0.055498
39,1,MS,13,peduncle,StemElement,7.869071,2.531536,21.477580,0.133524
39,1,MS,14,ear,StemElement,17.880020,3.597886,24.845872,0.220047
40,1,MS,12,blade,LeafElement1,15.018860,3.513835,22.460178,0.201549
40,1,MS,12,internode,HiddenElement,0.115127,1.023629,20.671041,0.050967
40,1,MS,12,internode,StemElement,1.993001,1.321103,20.812761,0.066686
40,1,MS,12,sheath,StemElement,4.130135,1.816785,20.823465,0.094638
40,1,MS,13,peduncle,HiddenElement,0.519714,1.122537,21.028999,0.055498
40,1,MS,13,peduncle,StemElement,7.869071,2.531536,21.477580,0.133524
40,1,MS,14,ear,StemElement,17.880020,3.597886,24.845872,0.220047
41,1,MS,12,blade,LeafElement1,10.991862,2.702553,20.441191,0.180429
41,1,MS,12,internode,HiddenElement,0.070817,0.860092,19.798369,0.050703
41,1,MS,12,internode,StemElement,1.258431,1.049584,19.914424,0.062441
41,1,MS,12,sheath,StemElement,2.666219,1.377557,19.881172,0.083982
41,1,MS,13,peduncle,HiddenElement,0.322393,0.923988,20.115656,0.054030
41,1,MS,13,peduncle,StemElement,5.285035,1.885514,20.304011,0.116035
41,1,MS,14,ear,StemElement,13.590824,2.828729,21.460492,0.201837
42,1,MS,12,blade,LeafElement1,10.991862,2.702553,20.441191,0.180429
42,1,MS,12,internode,HiddenElement,0.070817,0.860092,19.798369,0.050703
42,1,MS,12,internode,StemElement,1.258431,1.049584,19.914424,0.062441
42,1,MS,12,sheath,StemElement,2.666219,1.377557,19.881172,0.083982
42,1,MS,13,peduncle,HiddenElement,0.322393,0.923988,20.115656,0.054030
42,1,MS,13,peduncle,StemElement,5.285035,1.885514,20.304011,0.116035
42,1,MS,14,ear,StemElement,13.590824,2.828729,21.460492,0.201837
43,1,MS,12,blade,LeafElement1,3.210817,1.125037,18.058844,0.098431
43,1,MS,12,internode,HiddenElement,0.016790,0.599235,17.917202,0.050214
43,1,MS,12,internode,StemElement,0.308730,0.643533,18.022116,0.053908
43,1,MS,12,sheath,StemElement,0.674217,0.722385,18.019238,0.060985
43,1,MS,13,peduncle,HiddenElement,0.077365,0.617788,18.170891,0.051240
43,1,MS,13,peduncle,StemElement,1.395312,0.858887,18.297626,0.072226
43,1,MS,14,ear,StemElement,4.115082,1.188201,17.925007,0.108178
44,1,MS,12,blade,LeafElement1,3.210817,1.125037,18.058844,0.098431
44,1,MS,12,internode,HiddenElement,0.016790,0.599235,17.917202,0.050214
44,1,MS,12,internode,StemElement,0.308730,0.643533,18.022116,0.053908
44,1,MS,12,sheath,StemElement,0.674217,0.722385,18.019238,0.060985
44,1,MS,13,peduncle,HiddenElement,0.077365,0.617788,18.170891,0.051240
44,1,MS,13,peduncle,StemElement,1.395312,0.858887,18.297626,0.072226
44,1,MS,14,ear,StemElement,4.115082,1.188201,17.925007,0.108178
45,1,MS,12,blade,LeafElement1,0.000000,0.344486,15.075185,0.050000
45,1,MS,12,internode,HiddenElement,0.000000,0.341483,14.928854,0.050000
45,1,MS,12,internode,StemElement,0.000000,0.343033,15.004473,0.050000
45,1,MS,12,sheath,StemElement,0.000000,0.343217,15.013441,0.050000
45,1,MS,13,peduncle,HiddenElement,0.000000,0.345183,15.109029,0.050000
45,1,MS,13,peduncle,StemElement,0.000000,0.347327,15.213039,0.050000
45,1,MS,14,ear,StemElement,0.000000,0.339314,14.822830,0.050000
46,1,MS,12,blade,LeafElement1,0.000000,0.344486,15.075185,0.050000
46,1,MS,12,internode,HiddenElement,0.000000,0.341483,14.928854,0.050000
46,1,MS,12,internode,StemElement,0.000000,0.343033,15.004473,0.050000
46,1,MS,12,sheath,StemElement,0.000000,0.343217,15.013441,0.050000
46,1,MS,13,peduncle,HiddenElement,0.000000,0.345183,15.109029,0.050000
46,1,MS,13,peduncle,StemElement,0.000000,0.347327,15.213039,0.050000
46,1,MS,14,ear,StemElement,0.000000,0.339314,14.822830,0.050000
47,1,MS,12,blade,LeafElement1,0.000000,0.180919,12.460161,0.050000
47,1,MS,12,internode,HiddenElement,0.000000,0.179380,12.353324,0.050000
47,1,MS,12,internode,StemElement,0.000000,0.180174,12.408571,0.050000
47,1,MS,12,sheath,StemElement,0.000000,0.180269,12.415118,0.050000
47,1,MS,13,peduncle,HiddenElement,0.000000,0.181275,12.484827,0.050000
47,1,MS,13,peduncle,StemElement,0.000000,0.182373,12.560532,0.050000
47,1,MS,14,ear,StemElement,0.000000,0.178269,12.275725,0.050000
48,1,MS,12,blade,LeafElement1,0.000000,0.180919,12.460161,0.050000
48,1,MS,12,internode,HiddenElement,0.000000,0.179380,12.353324,0.050000
48,1,MS,12,internode,StemElement,0.000000,0.180174,12.408571,0.050000
48,1,MS,12,sheath,StemElement,0.000000,0.180269,12.415118,0.050000
48,1,MS,13,peduncle,HiddenElement,0.000000,0.181275,12.484827,0.050000
48,1,MS,13,peduncle,StemElement,0.000000,0.182373,12.560532,0.050000
48,1,MS,14,ear,StemElement,0.000000,0.178269,12.275725,0.050000
