t,plant,axis,organ,mstruct,Nstruct,age_from_flowering,amino_acids,cytokinins,nitrates,proteins,starch,structure,sucrose,C_exudation,HATS_LATS,N_exudation,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_residual,regul_transpiration,sum_respi,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,S_Amino_Acids,S_cytokinins,S_grain_starch,S_grain_structure,S_Proteins,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,Total_Organic_Nitrogen
36,1,MS,phloem,NA,NA,NA,28.801053570077784,NA,NA,NA,NA,NA,616.95857695206655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,1,MS,roots,0.152066438,0.0045413290000000002,NA,19.377523068164702,0.037296520133259591,77.750698750606958,NA,NA,NA,163.14216942641283,14.028348553569799,18.760796769967246,1.6662439187905238,NA,0.81252864354611121,0.94509436764847743,NA,NA,1.419830215212438,0.7359654149236099,3.1774532264070263,1.540208174945795,0.20599857095972776,0.019763243218858442,2.69860994436501,0.19015712241397281,NA,NA,NA,3.2743788098959956,70.141742767848996,2.3805903467216054,343.75816592530759
40,1,MS,grains,NA,NA,576000.00000000012,NA,NA,NA,152.75295586178098,0.0,2721.6049839238622,NA,NA,NA,NA,1.343501053209384e-06,NA,NA,0.0,5.3765693598081254,NA,NA,NA,NA,NA,NA,NA,NA,0,13.163324984357823,0.46345302897757223,NA,NA,NA,NA
40,1,MS,phloem,NA,NA,NA,30.339669074301757,NA,NA,NA,NA,NA,861.72901884784392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,1,MS,roots,0.15240585100000001,0.004548117,NA,15.779553241363967,0.07724123546666492,84.576991696423292,NA,NA,NA,181.23003339483088,15.558749522708446,17.008296347112701,1.3546878067817356,NA,0.83479864776870605,0.9284034278285872,NA,NA,1.494278230431741,0.81588984347980142,3.2574803060290343,1.3904327402219852,0.24841983066187412,0.045374644450860292,2.766399556871761,0.41081611328466072,NA,NA,NA,2.7389544822342482,77.793747613542223,2.3385476771500935,340.64505324136394
44,1,MS,grains,NA,NA,633600.0,NA,NA,NA,154.50448512327731,0.0,2753.2300295572295,NA,NA,NA,NA,1.3665051685303494e-06,NA,NA,0.0,5.5321752118687462,NA,NA,NA,NA,NA,NA,NA,NA,0,13.544291035954515,0.42003941038112863,NA,NA,NA,NA
44,1,MS,phloem,NA,NA,NA,32.029817876222126,NA,NA,NA,NA,NA,1032.8106468641533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,1,MS,roots,0.15277434400000001,0.0045554870000000004,NA,13.429830392917024,0.14670874477142296,91.179852264518615,NA,NA,NA,201.70150332100755,16.294070187789231,15.478161558493994,1.0849031634832831,NA,0.85647717992702799,0.91492853262878648,NA,NA,1.572150695809831,0.78303925722950474,3.3435564083656457,1.1357371168835011,0.25703065364941663,0.082712668705119383,2.8313931577829439,0.70032667217879507,NA,NA,NA,2.5265817222249987,81.470350938946154,2.3046058756392607,338.82175896434563
48,1,MS,grains,NA,NA,691200.00000000012,NA,NA,NA,156.18498471671424,0.0,2785.4637162038957,NA,NA,NA,NA,1.3637697171975322e-06,NA,NA,0.0,5.5857397624646135,NA,NA,NA,NA,NA,NA,NA,NA,0,13.675431832240948,0.42554240013209294,NA,NA,NA,NA
48,1,MS,phloem,NA,NA,NA,31.599867515551249,NA,NA,NA,NA,NA,1015.5082877349583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,1,MS,roots,0.15317045199999998,0.004563409,NA,14.510753751536381,0.36087313187675335,98.188419318419236,NA,NA,NA,222.61692697774279,16.204357406557168,14.007247635859445,1.0562424125634651,NA,0.87580552970215364,0.8892234836715025,NA,NA,1.64825290369058,0.2571665337950127,3.4132819170642361,0.40302146646384351,0.090902791637744895,0.066819234574436517,2.8878025710996651,0.91945085585947672,NA,NA,NA,2.521178573362326,81.021787032785838,2.2398576414899307,340.46853946582206
