t,plant,axis,metamer,organ,element,Ag,Nstruct,Tr,Ts,green_area,is_growing,mstruct,amino_acids,cytokinins,fructan,nitrates,proteins,starch,sucrose,triosesP,Photosynthesis,R_Nnit_red,R_phloem_loading,R_residual,R_maintenance,Transpiration,sum_respi,Amino_Acids_import,D_Fructan,D_Proteins,D_Starch,D_cytokinins,Loading_Amino_Acids,Loading_Sucrose,Nitrates_import,Regul_S_Fructan,S_Fructan,S_Starch,S_Sucrose,S_Amino_Acids,S_Proteins,cytokinins_import,k_proteins,Total_Organic_Nitrogen
8,1,MS,2,blade,LeafElement1,0.24207144999999999,0.00059999999999999995,0.065969374999999997,16.448801629999998,0.00028853,False,0.02,4.247978655377378,2.936981991356467,0.29225693190059088,3.2541605982847764e-07,1.1208362020705323,0.0082528286617626328,20.671252542658273,1.0818612394833068e-05,0.25144155168659998,4.1711095713386318e-06,0,0.2074777657462879,0.23691050342353973,1.9034143768749999e-05,0.20748193685585925,0.00042654213449551186,0.29225693190059088,0.047550780776489651,0.59420366364690957,1.5859702753324922,-0.81864374700311848,-3.5753333493754464,6.7597153341731587e-06,0.015,9.2503194736372176,0.77891902537042479,11.792457610418678,0.00021066209956255714,3.6714409578360376,0.00023981917419389255,2.3569099911818117e-07,48.225957714590763
8,1,MS,2,sheath,StemElement,0.0,0.00036000000000000002,0.0,0.0,1.26e-06,False,0.012,2.761683828801976,1.7615369034333166,0.32767429767228418,0.0,0.57505063939104162,0.0,20.863030257646951,0.0,0.0,0.0,0,0.053279481458069627,0.045454543200000003,0.0,0.053279481458069627,0.0,0.32767429767228418,0.040688919162287951,0.0,1.585383213089985,-0.478091029810294,-0.16531815561759006,0.0,0.015,13.932246050183062,0.0,0.0,0,3.7643318649283599,0.0,2.3585702066967e-07,29.051020182478734
8,1,MS,3,blade,LeafElement1,0.27355807199999999,0.00066,0.065969879999999995,16.453926129999999,0.00022900700000000001,False,0.022000000000000002,4.6137201774483723,3.2303505985455678,0.46584132241571952,4.4402087896832037e-07,1.33246506738566,0.0074014422305674335,30.169895537040237,9.7021448159083627e-06,0.2255281682202144,4.6423234819798269e-06,0,0.26958963016230586,0.2606941367325693,1.5107564309159999e-05,0.26959427248578782,0.00033855017623839808,0.46584132241571952,0.05139997700467306,0.48445803690986844,1.5858084756496422,-0.89598218198000656,-2.1031116670953502,5.3652444451060554e-06,0.015,11.622854913019886,0.63503547611820066,9.615536778152622,0.00021314616538015732,3.6564590721938242,0.00019034654990114164,2.3573673957577676e-07,53.08904238769118
8,1,MS,3,sheath,StemElement,0.0,0.00042000000000000002,0.0,0.0,4.0600000000000001e-06,False,0.013999999999999999,3.1432396197407892,2.0551263873388708,0.26990497277575481,0.0,0.68654925228555452,0.0,17.959221913254943,0.0,0.0,0.0,0,0.052849819728864753,0.053030300399999994,0.0,0.052849819728864753,0.0,0.26990497277575481,0.041638490019529788,0.0,1.5853832130899861,-0.56646380785745754,-1.887004010760611,0.0,0.015,11.025540724680106,0.0,0.0,0,3.7359891547099751,0.0,2.3585702066966966e-07,33.829788872026342
8,1,MS,4,blade,LeafElement1,0.059989445000000002,1.3799999999999999e-06,0.063276225000000005,16.449080169999998,1.55e-06,True,4.2700000000000008e-05,0.013300543454960168,1.2293597690046516e-06,1.8265766794274526e-06,4.2214576845134821e-09,0.00017556353465157605,1.0982561780474979e-05,0.076331840221593741,1.4394443615728813e-08,0.0003347411031,3.3754382834817126e-08,9.0629376276365962e-10,0.00058808932284972186,0.00050581369042023371,9.807814875000001e-08,0.00058812398352631949,2.1978641867713841e-06,1.8265766794274526e-06,0.03700401787817581,0.37037210688252853,0.00031093877061475958,0.00081740274080825681,0.0035374463808105364,3.4831110561493361e-08,1.2307707129154209e-06,0.0011669151878173766,0.48542504532733621,7.3512940982930353,0.00079848562521744654,4.0876899932488593,1.2357278018624221e-06,2.4999996068753406e-06,0.1120475355610403
12,1,MS,1,blade,LeafElement1,3.4118892889999999,0.00054000000000000001,0.35118719399999998,16.746177209999999,0.00029428400000000002,False,0.018000000000000002,4.3425161694699499,2.6159227029400114,0.55174357863587364,2.0792790832421424e-07,0.97604277320052391,0.1217988491124688,27.455195966848034,0.0001573409209267019,3.6146319390866739,4.1376012067560342e-05,0,0.2437983229028628,0.21766004868857547,0.00010334877219909599,0.24383969891493035,0.0023558525565059488,0.55174357863587364,0.046927557170919489,9.743907928997503,1.5695536217640067,-0.37122591125208731,-0.78187394326534232,4.1821747454846008e-05,0.015,12.622520187427511,12.581774707415716,188.22340218059389,0.0023218861990774598,3.8175865831153755,0.00091332296580094805,2.4039703207391314e-07,43.88998751409904
12,1,MS,1,sheath,StemElement,1.160077781,0.00029999999999999997,0.228567047,16.455131770000001,0.000174251,False,0.01,2.5899826654809974,1.4531440054637381,0.30372777806903373,2.1736880834827235e-07,0.50152286896486076,0.024324643563830729,14.400029730768319,3.1426527857582873e-05,0.72772096830131161,1.5979595851761009e-05,0,0.12967626963826054,0.1185072379482134,3.9828036506797001e-05,0.12969224923411229,0.00090788675693595435,0.30372777806903373,0.043411558534283162,3.5027486731916251,1.569395525900837,-0.1641125186294331,-0.77210984493211621,1.6117057309600254e-05,0.015,12.074553516703975,4.5247090320197225,68.242028958344832,0.0016141005910869706,3.8958144639741628,0.00035197186817410934,2.4044299882899255e-07,24.520076963017285
12,1,MS,2,blade,LeafElement1,3.6261299839999999,0.00059999999999999995,0.35404676299999999,16.735022430000001,0.00028853,False,0.02,4.7694635686905169,2.90633219559176,0.4913548766932504,2.1874056238918111e-07,1.1948056744893916,0.12681791173509771,26.480563543837164,0.00016382480514095103,3.7664902234206723,4.0896993740438383e-05,0,0.25102845000011093,0.24165757896240397,0.00010215311252839,0.25106934699385136,0.0023285972942323212,0.4913548766932504,0.05170938655422043,9.130889644927036,1.5694193856195504,-0.41979466361978002,-1.7517427160630292,4.1337904485779291e-05,0.015,11.305693074901562,11.790557005888489,176.52709672774051,0.002065504734365575,3.8046003216634268,0.00090275657576745975,2.404360607581126e-07,48.82141210032276
12,1,MS,2,sheath,StemElement,0.0,0.00036000000000000002,0.0,0.0,1.26e-06,False,0.012,3.0437252469728477,1.7426146746660376,0.47676496508343269,0.0,0.62047578948057658,0.0,20.701119354504318,0.0,0.0,0.0,3.4927449966211968e-06,0.054468902735563179,0.045454543200000003,0.0,0.0544723954805598,0.0,0.47676496508343269,0.044813187869112744,0.0,1.5683532071994337,-0.21488277646780024,0.048510347175294399,0.0,0.0062087043322646487,5.7334727152420006,0.0,0.0,0,3.8730396944000227,0.0,2.4074636823798041e-07,29.378486750739139
12,1,MS,3,blade,LeafElement1,4.0975752860000005,0.00066,0.347523631,16.72337048,0.00022900700000000001,False,0.022000000000000002,5.1894029137105075,3.1963508780445573,0.72251118347247267,2.0796302160255877e-07,1.4134453024149969,0.11351078680561776,34.260811993656624,0.00014661881294538137,3.378144324675608,3.1868552427080887e-05,0,0.30129311556107519,0.26560873088268905,7.9585344164417009e-05,0.30132498411350228,0.0018141612379192601,0.72251118347247267,0.055631003640886183,7.4297969545495253,1.5691177037673281,-0.46876220715996125,-0.73900742180432155,3.220549304968293e-05,0.015,12.824576696121804,9.5936709095146391,143.95348603114704,0.0014632025907750635,3.7922922949623561,0.00070331868506871647,2.4052380653939558e-07,53.745705358982647
12,1,MS,3,sheath,StemElement,0.0,0.00042000000000000002,0.0,0.0,4.0600000000000001e-06,False,0.013999999999999999,3.4860900665924905,2.0330504537770446,0.42418289213397375,0.0,0.73919485075020952,0.0,19.256030948675985,0.0,0.0,0.0,0,0.056378778218218684,0.053030300399999994,0.0,0.056378778218218684,0.0,0.42418289213397375,0.045760750904141681,0.0,1.5683532071994346,-0.26651180202486457,-1.1971970963031466,0.0,0.015,11.649920573170277,0.0,0.0,0,3.852750584421325,0.0,2.407463682379802e-07,34.225284917342698
12,1,MS,4,blade,LeafElement1,0.97470886400000001,4.8400000000000002e-06,0.24765079700000001,16.412072569999999,5.4399999999999996e-06,True,0.00015023600000000002,0.043955134725077109,1.3071466990235172e-05,1.3854670529248955e-05,4.2353850214720617e-09,0.00078014703004368837,0.00063305019522258139,0.25694988173718519,8.270850830959722e-07,0.019088698392575997,5.3916106864623243e-07,2.3529394603080578e-08,0.0020918078406969749,0.0017750993997083244,1.3472203356799999e-06,0.0020923705311602244,3.0710112993643212e-05,1.3854670529248955e-05,0.046735216644732368,6.0677353039252715,0.00093966721354761735,0.0016618903486430047,0.026102703527650466,5.4517443648290058e-07,1.3343214332343102e-07,0.0001224319868350039,7.925362577543992,119.12068702069389,0.0036250109164694174,4.0244628614335882,1.1905775428083598e-05,2.4999959898744336e-06,0.39044956746940657
16,1,MS,1,blade,LeafElement1,27.499209159999999,0.00054000000000000001,2.7666914349999998,26.679168390000001,0.00029428400000000002,False,0.018000000000000002,4.555472468394318,2.589336235150637,0.5820266614190347,2.4643434446307371e-07,1.0444256274584625,1.0864214263178007,51.641572555478739,0.0013893507330425836,29.133278166389189,0.0003260945523582521,0.00089519112969248867,0.65055476297148851,0.43330285558959408,0.00081419302225753994,0.65177604865353922,0.016652245747275023,0.5820266614190347,0.051197478702674729,86.913714105424049,1.5536017410903822,-0.18286918701321872,8.2888067564119314,0.00032942304198872702,7.1670432468002184e-09,9.4070021800591472e-06,110.7207532000137,1507.7339470720126,0.018299357595861505,3.8706093766690937,0.0015089925691254059,2.4509872870153644e-07,44.171326667281349
16,1,MS,1,sheath,StemElement,13.13302554,0.00029999999999999997,1.828340321,22.334726379999999,0.000174251,False,0.01,2.6629139503703434,1.4381267268799838,0.338790454010099,1.7083441048587894e-07,0.54020916745373471,0.29022712692076469,21.669133663509832,0.00037295197260140453,8.2383942001339445,0.00012758901140042816,0.00010132550030303393,0.24029791845017945,0.17813050950827539,0.00031859012927457097,0.2405268329618829,0.0065159501252249211,0.338790454010099,0.047690348726595048,41.79270627659011,1.5531768650303825,-0.061880751243898142,1.6887583383838987,0.00012890177963231623,1.4530883973211092e-07,0.00015816264875672808,53.605123372086446,770.19150950162725,0.012887778929336176,3.9257638936743171,0.00059046211958318953,2.4522573641543009e-07,24.631694546395504
16,1,MS,2,blade,LeafElement1,30.220154709999999,0.00059999999999999995,2.9465084889999997,25.885194240000001,0.00028853,False,0.02,5.0146487979403993,2.8766930376867532,0.5505217312569749,2.6374603936005348e-07,1.2704585314194443,1.1659508708912716,53.905746782417488,0.0014920704550025453,31.389916458514676,0.0003404973219033765,0.00085342574769322124,0.66903822145229785,0.45566748336069018,0.00085015609433116996,0.6702321445218945,0.01738777884277682,0.5505217312569749,0.056062613647522699,83.948462704171561,1.5534142403508469,-0.21359587040558978,7.1118812307768433,0.00034397372503057656,1.5564487031639204e-08,1.9625355981559832e-05,107.02983263249622,1462.4088972239363,0.017196834439564469,3.8603648292169619,0.0015756450790812863,2.4515476657114963e-07,49.1422501865027
16,1,MS,2,sheath,StemElement,0.0,0.00036000000000000002,0.0,0.0,1.26e-06,False,0.012,3.1425656213782407,1.7238957564989801,0.49917695696870873,0.0,0.66663914198606333,0.0,20.543506599753336,0.0,0.0,0.0,2.6616229664095889e-06,0.054875791179930196,0.045454543200000003,0.0,0.054878452802896605,0.0,0.49917695696870873,0.049143182719965491,0.0,1.5515061808490822,-0.093144820327327404,0.036966985644577621,0.0,0.0092216854417134977,8.4675320138069878,0.0,0.0,0,3.9077945700810428,0.0,2.4572605889675803e-07,29.523490477650018
16,1,MS,3,blade,LeafElement1,37.032234610000003,0.00066,3.1485165149999998,24.863300859999999,0.00022900700000000001,False,0.022000000000000002,5.4646308135968322,3.1633563689615567,0.75596361583898986,2.472600219422452e-07,1.4963274138860216,1.1189568870244961,59.893720565017233,0.0014337959929801814,30.530307424796174,0.00028877848449506452,0.0010380139722267927,0.68878337992969707,0.4669589109342146,0.00072103232155060497,0.69011017238641892,0.01474688075426786,0.75596361583898986,0.060063181459869254,73.240814423421554,1.5529203993084002,-0.2460980997514009,7.8637422138393385,0.00029173016010233268,1.5324226257806331e-08,1.9448451186470208e-05,93.543641136361657,1294.1535862687058,0.013258883585631978,3.8500231923858332,0.0013363322769609099,2.4530244663154256e-07,54.103815370340001
16,1,MS,3,sheath,StemElement,0.0,0.00042000000000000002,0.0,0.0,4.0600000000000001e-06,False,0.013999999999999999,3.6174302421458835,2.0112117159154779,0.5830189395673836,0.0,0.79279713982704325,0.0,20.060871664042775,0.0,0.0,0.0,0,0.058320965752258341,0.053030300399999994,0.0,0.058320965752258341,0.0,0.5830189395673836,0.050094235716254008,0.0,1.5515061808490831,-0.1236425676950486,-0.95158535562890201,0.0,0.015,12.028387576564146,0.0,0.0,0,3.8932525944263658,0.0,2.4572605889675776e-07,34.410227381972931
16,1,MS,4,blade,LeafElement1,9.3132151920000013,9.5100000000000004e-06,2.1167535759999998,18.453217479999999,1.0699999999999999e-05,True,0.00029528200000000001,0.082545251463582742,5.5030910627846214e-05,4.5766374642454804e-05,8.6771143178137801e-09,0.0019484086275808157,0.01284281068286789,0.50252087782120747,1.6656340374267909e-05,0.35874504919584005,9.0710616538965877e-06,5.8749864831846634e-07,0.0048453561561049045,0.0040191130583500552,2.2649263263199997e-05,0.0048550147164071198,0.00046323302649753438,4.5766374642454804e-05,0.059385734240234224,62.630459639699545,0.0020127668966639996,0.0024284839917488835,0.33160315016293257,9.1639070822284606e-06,4.9414422648570635e-10,4.5173080863450423e-07,80.999425764736429,1133.8210823732741,0.031030298288718859,3.9772519903894228,4.1977232702840614e-05,2.4999801447219073e-06,0.76377937437687793
20,1,MS,1,blade,LeafElement1,21.255757070000001,0.00054000000000000001,3.0276401599999998,22.148582080000001,0.00029428400000000002,False,0.018000000000000002,4.6308859678858445,2.5617165743866375,0.57164446126710999,3.7800075774760458e-07,1.1133282631108121,1.0546833635294832,62.207055769778663,0.0010480426177757296,22.518825168916372,0.0004050185403237618,0.0015333326713566958,0.51015077475876103,0.31652448689469082,0.00089098605684544,0.51208912597044154,0.01866299230728697,0.57164446126710999,0.055693703239343827,84.37466908235865,1.5370299446319822,-0.083080591751519023,14.197524734784219,0.00040915985448651624,1.4261931080770667e-09,2.0983875257960459e-06,83.600030547444263,1167.37035467532,0.02272831314948158,3.8885441837191443,0.00019327720807385944,2.5012256081475452e-07,44.315642802425224
20,1,MS,1,sheath,StemElement,9.2098840539999998,0.00029999999999999997,1.884668131,19.573040880000001,0.000174251,False,0.01,2.6648629636629217,1.422750439891433,0.3354202216762463,2.7541332166181075e-07,0.57898483506532739,0.264869942464456,24.91352150476542,0.00025747003123394662,5.777393422656794,0.00014926640740634795,0.00017406654326452696,0.21131413457576756,0.14709682292704648,0.000328405306494881,0.21163746752643844,0.0068789243801257267,0.3354202216762463,0.052163646242063447,38.141271714881668,1.5365704750827476,-0.014613701724715652,2.9011090544087823,0.00015081074096017484,2.8661952241650109e-08,3.4314934568704648e-05,37.028016474896695,540.66126908055685,0.015077414889530096,3.9265479081916723,7.1239342376130417e-05,2.5026392500023951e-07,24.672419227299677
20,1,MS,2,blade,LeafElement1,23.11968761,0.00059999999999999995,3.1431614649999999,21.891148950000002,0.00028853,False,0.02,5.1075712256222188,2.8459901717564384,0.53962137828671675,3.9826029794309388e-07,1.3467366912751768,1.1237586535768962,66.807849838082447,0.0011139828190972092,24.014604478007879,0.00041224917171008745,0.0016436997326770037,0.55131067665561151,0.3454739412904767,0.00090689637749645003,0.5533666255599986,0.018996256997160538,0.53962137828671675,0.060647420443762902,80.91062305753654,1.5368346927484766,-0.10266876677863286,13.697497772308363,0.000416466214033207,2.1785371480344953e-09,3.1410762626450617e-06,79.984010940024888,1120.6770888112292,0.020820665237883201,3.8804935951866546,0.00019672855541129651,2.5018261977954539e-07,49.311450774040253
20,1,MS,2,sheath,StemElement,0.0,0.00036000000000000002,0.0,0.0,1.26e-06,False,0.012,3.1549970530385107,1.7053783810256,0.64954041362324455,0.0,0.71295879799981587,0.0,20.451379920072814,0.0,0.0,0.0,0,0.055024246849513417,0.045454543200000003,0.0,0.055024246849513417,0.0,0.64954041362324455,0.053642418421202903,0.0,1.5348405429230401,-0.034671666664153354,-0.30537943975832438,0.0,0.015,13.727229001927757,0.0,0.0,0,3.9120541021999409,0.0,2.5079718758734758e-07,29.582241565324043
20,1,MS,3,blade,LeafElement1,27.29145827,0.00066,3.2124103470000001,21.52057379,0.00022900700000000001,False,0.022000000000000002,5.573450722072109,3.1295370163036882,0.73951514005585472,3.7049546097002482e-07,1.5799348670605782,1.0502375522507652,71.176732882759325,0.0010316978166065034,22.499765942536406,0.00033440579627214237,0.0017392220151382655,0.58524450209154011,0.37038428851312227,0.0007356644563354291,0.58731812990295051,0.015409556618588324,0.73951514005585472,0.064722014320196072,68.742821601868272,1.5363181716399923,-0.12495603257170887,13.17592435710807,0.00033783285337912045,3.2577925877242205e-09,4.6074598256176198e-06,67.371341482631379,955.29431797919494,0.015353801481732892,3.871721192459912,0.0001595840598259224,2.5034159894293759e-07,54.296242731989835
20,1,MS,3,sheath,StemElement,0.0,0.00042000000000000002,0.0,0.0,4.0600000000000001e-06,False,0.013999999999999999,3.6457742553597998,1.9896081111965345,0.74461536591063193,0.0,0.84665079908135843,0.0,20.858215007064391,0.0,0.0,0.0,0,0.059867821265243912,0.053030300399999994,0.0,0.059867821265243912,0.0,0.74461536591063193,0.054601107242961841,0.0,1.5348405429230412,-0.052547876902319858,-1.1430079491855807,0.0,0.015,12.396717350147171,0.0,0.0,0,3.9017165617408467,0.0,2.5079718758734727e-07,34.492425054441156
20,1,MS,4,blade,LeafElement1,10.429975539999999,1.5299999999999999e-05,2.7302212180000001,19.689801939999999,1.7199999999999998e-05,True,0.00047561199999999999,0.12829073342634945,6.4660350456785602e-05,0.00011483583838161699,1.8610119782248626e-08,0.0038037587872691179,0.026124020551270992,0.85454334789735431,3.0267487113607375e-05,0.64582408543679992,2.1346849624717872e-05,1.6221392962213036e-06,0.0088148802262829444,0.0070529524267037768,4.6959804949599992e-05,0.0088378492152038843,0.00098364107024192507,0.00011483583838161699,0.071978185774580677,79.095122902345253,0.0014682804154085359,0.0029791054851917589,0.56843929373148128,2.1564946849922024e-05,4.0992545444919136e-10,3.9011178209054009e-07,91.349535753475536,1266.3800810509399,0.045336270675260283,3.9395072149856913,1.0186758729408666e-05,2.4999897621149942e-06,1.2249516350707612
24,1,MS,1,blade,LeafElement1,0.0,0.00054000000000000001,0.16219914099999999,11.33106151,0.00029428400000000002,False,0.018000000000000002,4.6167342783400205,2.5342020330603439,0.56144716233659875,2.7956273194919725e-05,1.182262266792262,0.24761101537746771,52.395775667164486,-4.8537061262517155e-06,0.0,0.0,0.00080778131920582381,0.22790694079392765,0.14954348468164561,4.7732612010043999e-05,0.22871472211313348,0.0012187574016159636,0.56144716233659875,0.060360092403728527,19.808881230197414,1.5205212198362061,-0.033948864641162847,7.4794566593131826,2.9392094976810521e-05,9.7545186724892789e-09,1.2921338789420102e-05,0.0,0.0,0,3.8852107663534854,2.9178032017973726e-06,2.5527369898854489e-07,44.370425116560853
