t,An
371,14.0625
372,14.0625
373,14.0625
374,14.0625
375,11.8125
376,9.5625
377,7.3125
378,5.0625
379,2.8125
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,2.8125
391,5.0625
392,7.3125
393,9.5625
394,11.8125
395,14.0625
396,14.0625
397,14.0625
398,14.0625
399,11.8125
400,9.5625
401,7.3125
402,5.0625
403,2.8125
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,2.8125
415,5.0625
416,7.3125
417,9.5625
418,11.8125
419,14.0625
420,14.0625
421,14.0625
422,14.0625
423,11.8125
424,9.5625
425,7.3125
426,5.0625
427,2.8125
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,2.8125
439,5.0625
440,7.3125
441,9.5625
442,11.8125
443,14.0625
444,14.0625
445,14.0625
446,14.0625
447,11.8125
448,9.5625
449,7.3125
450,5.0625
451,2.8125
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,2.8125
463,5.0625
464,7.3125
465,9.5625
466,11.8125
467,14.0625
468,14.0625
469,14.0625
470,14.0625
471,11.8125
472,9.5625
473,7.3125
474,5.0625
475,2.8125
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,2.8125
487,5.0625
488,7.3125
489,9.5625
490,11.8125
491,14.0625
492,14.0625
493,14.0625
494,14.0625
495,11.8125
496,9.5625
497,7.3125
498,5.0625
499,2.8125
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,2.8125
511,5.0625
512,7.3125
513,9.5625
514,11.8125
515,14.0625
516,14.0625
517,14.0625
518,14.0625
519,11.8125
520,9.5625
521,7.3125
522,5.0625
523,2.8125
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,2.8125
535,5.0625
536,7.3125
537,9.5625
538,11.8125
539,14.0625
540,14.0625
541,14.0625
542,14.0625
543,11.8125
544,9.5625
545,7.3125
546,5.0625
547,2.8125
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,0
558,2.8125
559,5.0625
560,7.3125
561,9.5625
562,11.8125
563,14.0625
564,14.0625
565,14.0625
566,14.0625
567,11.8125
568,9.5625
569,7.3125
570,5.0625
571,2.8125
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,2.8125
583,5.0625
584,7.3125
585,9.5625
586,11.8125
587,14.0625
588,14.0625
589,14.0625
590,14.0625
591,11.8125
592,9.5625
593,7.3125
594,5.0625
595,2.8125
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,2.8125
607,5.0625
608,7.3125
609,9.5625
610,11.8125
611,14.0625
612,14.0625
613,14.0625
614,14.0625
615,11.8125
616,9.5625
617,7.3125
618,5.0625
619,2.8125
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,2.8125
631,5.0625
632,7.3125
633,9.5625
634,11.8125
635,14.0625
636,14.0625
637,14.0625
638,14.0625
639,11.8125
640,9.5625
641,7.3125
642,5.0625
643,2.8125
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,2.8125
655,5.0625
656,7.3125
657,9.5625
658,11.8125
659,14.0625
660,14.0625
661,14.0625
662,14.0625
663,11.8125
664,9.5625
665,7.3125
666,5.0625
667,2.8125
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,2.8125
679,5.0625
680,7.3125
681,9.5625
682,11.8125
683,14.0625
684,14.0625
685,14.0625
686,14.0625
687,11.8125
688,9.5625
689,7.3125
690,5.0625
691,2.8125
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,2.8125
703,5.0625
704,7.3125
705,9.5625
706,11.8125
707,14.0625
708,14.0625
709,14.0625
710,14.0625
711,11.8125
712,9.5625
713,7.3125
714,5.0625
715,2.8125
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,2.8125
727,5.0625
728,7.3125
729,9.5625
730,11.8125
731,14.0625
732,14.0625
733,14.0625
734,14.0625
735,11.8125
736,9.5625
737,7.3125
738,5.0625
739,2.8125
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,2.8125
751,5.0625
752,7.3125
753,9.5625
754,11.8125
755,14.0625
756,14.0625
757,14.0625
758,14.0625
759,11.8125
760,9.5625
761,7.3125
762,5.0625
763,2.8125
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,2.8125
775,5.0625
776,7.3125
777,9.5625
778,11.8125
779,14.0625
780,14.0625
781,14.0625
782,14.0625
783,11.8125
784,9.5625
785,7.3125
786,5.0625
787,2.8125
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,2.8125
799,5.0625
800,7.3125
801,9.5625
802,11.8125
803,14.0625
804,14.0625
805,14.0625
806,14.0625
807,11.8125
808,9.5625
809,7.3125
810,5.0625
811,2.8125
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,2.8125
823,5.0625
824,7.3125
825,9.5625
826,11.8125
827,14.0625
828,14.0625
829,14.0625
830,14.0625
831,11.8125
832,9.5625
833,7.3125
834,5.0625
835,2.8125
836,0
837,0
838,0
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,2.8125
847,5.0625
848,7.3125
849,9.5625
850,11.8125
851,14.0625
852,14.0625
853,14.0625
854,14.0625
855,11.8125
856,9.5625
857,7.3125
858,5.0625
859,2.8125
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,2.8125
871,5.0625
872,7.3125
873,9.5625
874,11.8125
875,14.0625
876,14.0625
877,14.0625
878,14.0625
879,11.8125
880,9.5625
881,7.3125
882,5.0625
883,2.8125
884,0
885,0
886,0
887,0
888,0
889,0
890,0
891,0
892,0
893,0
894,2.8125
895,5.0625
896,7.3125
897,9.5625
898,11.8125
899,14.0625
900,14.0625
901,14.0625
902,14.0625
903,11.8125
904,9.5625
905,7.3125
906,5.0625
907,2.8125
908,0
909,0
910,0
911,0
912,0
913,0
914,0
915,0
916,0
917,0
918,2.8125
919,5.0625
920,7.3125
921,9.5625
922,11.8125
923,14.0625
924,14.0625
925,14.0625
926,14.0625
927,11.8125
928,9.5625
929,7.3125
930,5.0625
931,2.8125
932,0
933,0
934,0
935,0
936,0
937,0
938,0
939,0
940,0
941,0
942,2.8125
943,5.0625
944,7.3125
945,9.5625
946,11.8125
947,14.0625
948,14.0625
949,14.0625
950,14.0625
951,11.8125
952,9.5625
953,7.3125
954,5.0625
955,2.8125
956,0
957,0
958,0
959,0
960,0
961,0
