t,An
414,0.75
415,1.35
416,1.95
417,2.55
418,3.15
419,3.75
420,3.75
421,3.75
422,3.75
423,3.15
424,2.55
425,1.95
426,1.35
427,0.75
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0.75
439,1.35
440,1.95
441,2.55
442,3.15
443,3.75
444,3.75
445,3.75
446,3.75
447,3.15
448,2.55
449,1.95
450,1.35
451,0.75
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0.75
463,1.35
464,1.95
465,2.55
466,3.15
467,3.75
468,3.75
469,3.75
470,3.75
471,3.15
472,2.55
473,1.95
474,1.35
475,0.75
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0.75
487,1.35
488,1.95
489,2.55
490,3.15
491,3.75
492,3.75
493,3.75
494,3.75
495,3.15
496,2.55
497,1.95
498,1.35
499,0.75
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0.75
511,1.35
512,1.95
513,2.55
514,3.15
515,3.75
516,3.75
517,3.75
518,3.75
519,3.15
520,2.55
521,1.95
522,1.35
523,0.75
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,0.75
535,1.35
536,1.95
537,2.55
538,3.15
539,3.75
540,3.75
541,3.75
542,3.75
543,3.15
544,2.55
545,1.95
546,1.35
547,0.75
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,0
558,0.75
559,1.35
560,1.95
561,2.55
562,3.15
563,3.75
564,3.75
565,3.75
566,3.75
567,3.15
568,2.55
569,1.95
570,1.35
571,0.75
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0.75
583,1.35
584,1.95
585,2.55
586,3.15
587,3.75
588,3.75
589,3.75
590,3.75
591,3.15
592,2.55
593,1.95
594,1.35
595,0.75
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0.75
607,1.35
608,1.95
609,2.55
610,3.15
611,3.75
612,3.75
613,3.75
614,3.75
615,3.15
616,2.55
617,1.95
618,1.35
619,0.75
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0.75
631,1.35
632,1.95
633,2.55
634,3.15
635,3.75
636,3.75
637,3.75
638,3.75
639,3.15
640,2.55
641,1.95
642,1.35
643,0.75
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0.75
655,1.35
656,1.95
657,2.55
658,3.15
659,3.75
660,3.75
661,3.75
662,3.75
663,3.15
664,2.55
665,1.95
666,1.35
667,0.75
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0.75
679,1.35
680,1.95
681,2.55
682,3.15
683,3.75
684,3.75
685,3.75
686,3.75
687,3.15
688,2.55
689,1.95
690,1.35
691,0.75
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0.75
703,1.35
704,1.95
705,2.55
706,3.15
707,3.75
708,3.75
709,3.75
710,3.75
711,3.15
712,2.55
713,1.95
714,1.35
715,0.75
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0.75
727,1.35
728,1.95
729,2.55
730,3.15
731,3.75
732,3.75
733,3.75
734,3.75
735,3.15
736,2.55
737,1.95
738,1.35
739,0.75
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0.75
751,1.35
752,1.95
753,2.55
754,3.15
755,3.75
756,3.75
757,3.75
758,3.75
759,3.15
760,2.55
761,1.95
762,1.35
763,0.75
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0.75
775,1.35
776,1.95
777,2.55
778,3.15
779,3.75
780,3.75
781,3.75
782,3.75
783,3.15
784,2.55
785,1.95
786,1.35
787,0.75
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0.75
799,1.35
800,1.95
801,2.55
802,3.15
803,3.75
804,3.75
805,3.75
806,3.75
807,3.15
808,2.55
809,1.95
810,1.35
811,0.75
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,0.75
823,1.35
824,1.95
825,2.55
826,3.15
827,3.75
828,3.75
829,3.75
830,3.75
831,3.15
832,2.55
833,1.95
834,1.35
835,0.75
836,0
837,0
838,0
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,0.75
847,1.35
848,1.95
849,2.55
850,3.15
851,3.75
852,3.75
853,3.75
854,3.75
855,3.15
856,2.55
857,1.95
858,1.35
859,0.75
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0.75
871,1.35
872,1.95
873,2.55
874,3.15
875,3.75
876,3.75
877,3.75
878,3.75
879,3.15
880,2.55
881,1.95
882,1.35
883,0.75
884,0
885,0
886,0
887,0
888,0
889,0
890,0
891,0
892,0
893,0
894,0.75
895,1.35
896,1.95
897,2.55
898,3.15
899,3.75
900,3.75
901,3.75
902,3.75
903,3.15
904,2.55
905,1.95
906,1.35
907,0.75
908,0
909,0
910,0
911,0
912,0
913,0
914,0
915,0
916,0
917,0
918,0.75
919,1.35
920,1.95
921,2.55
922,3.15
923,3.75
924,3.75
925,3.75
926,3.75
927,3.15
928,2.55
929,1.95
930,1.35
931,0.75
932,0
933,0
934,0
935,0
936,0
937,0
938,0
939,0
940,0
941,0
942,0.75
943,1.35
944,1.95
945,2.55
946,3.15
947,3.75
948,3.75
949,3.75
950,3.75
951,3.15
952,2.55
953,1.95
954,1.35
955,0.75
956,0
957,0
958,0
959,0
960,0
961,0
